,CH,W,CO,UW,NN,DT,RB,JJ,IN,GF,SMOG,RIX,DC,WT,S,LW,CW,NBW,DW,index,split
0,1468,271,20,151,53,20,18,15,38,9.78917378917379,9.265573868473778,2.769230769230769,7.18135754985755,143,13,35,17,160,30,0,test
1,343,65,0,47,14,8,1,1,5,7.730769230769231,8.07648339933343,1.25,6.871730769230769,44,4,5,3,32,5,1,train
2,1447,296,0,121,56,24,9,21,37,119.34594594594594,21.19438992294339,22.0,21.2520527027027,122,1,24,10,112,27,2,train
3,2183,340,24,172,87,27,22,28,43,10.028235294117648,11.126944784690435,3.68,8.862295294117647,149,25,90,48,242,80,3,train
4,3586,643,32,280,117,52,41,43,76,10.023532548322596,10.54624756493357,2.742857142857143,7.420864381248611,233,35,96,59,365,93,4,train
5,1494,268,16,134,74,26,6,6,31,11.810890233362144,11.20814326018867,2.6923076923076925,7.552997954479977,122,13,39,26,141,34,5,train
6,1936,363,7,143,79,36,11,16,47,12.491544818817546,10.727762888450027,4.076923076923077,7.239914367450731,129,13,54,23,146,32,6,train
7,2542,434,15,193,116,54,22,23,62,10.363559021623539,10.727762888450027,3.6153846153846154,8.53927717121588,175,26,92,46,232,89,7,train
8,1854,318,9,184,73,29,15,27,43,10.719894074809666,11.313756151347437,3.789473684210526,8.240358060244953,169,19,73,39,174,58,8,test
9,3949,729,10,326,146,48,29,50,82,8.27336326225215,8.296473431620573,2.3636363636363638,7.945510899114603,277,44,100,35,395,114,9,train
10,1398,235,12,147,38,15,19,21,34,12.599290780141843,13.160352788161607,5.083333333333333,8.168982269503546,141,12,61,37,132,49,10,test
11,2636,490,20,253,93,50,14,36,64,8.962702322308235,9.753983421225431,2.3793103448275863,7.922589373680507,225,29,68,39,253,78,11,train
12,1303,247,5,154,42,15,18,12,36,10.014709851551956,9.075114841892004,3.0,7.853789608636977,145,12,36,13,129,34,12,train
