,essay_id,pred
1,4309,-7.117462635040283
2,3572,-3.3600292205810547
3,4585,1.0062103271484375
4,3235,1.5164490938186646
5,3360,-2.6800878047943115
6,3660,-1.0303027629852295
7,3162,3.365861177444458
9,3020,0.9631432890892029
11,4574,3.0114924907684326
12,3256,-2.9213435649871826
13,4212,-0.2751227915287018
14,3401,-2.4477317333221436
15,4668,-3.3217051029205322
16,3429,-0.4921046793460846
17,4295,-1.4951434135437012
18,3884,-1.3107534646987915
20,3425,0.5733009576797485
21,4061,3.6829888820648193
22,4773,-3.6329729557037354
23,3826,3.0553629398345947
24,3530,1.9148472547531128
25,3759,-3.394988775253296
26,3455,0.27851229906082153
27,3700,4.5107855796813965
31,3071,-0.2951010465621948
32,3730,-1.4998456239700317
33,3969,1.3898638486862183
34,3944,1.486791729927063
37,3478,-0.17889398336410522
38,4047,-3.718895196914673
39,3104,5.372980117797852
41,3421,4.136292934417725
43,3278,2.515623092651367
44,3960,-0.03893277794122696
45,4432,-3.439954996109009
46,4777,1.0713701248168945
47,3222,-5.958430767059326
48,4527,5.631144046783447
50,4346,-3.252471685409546
51,4392,1.9585593938827515
52,3338,-0.7601120471954346
53,3811,-1.0963211059570312
54,3684,-4.3358378410339355
55,3347,1.803766131401062
56,3913,-1.778058648109436
57,4560,-7.14074182510376
58,3350,-2.279794692993164
60,3460,5.83428430557251
61,4633,1.1928569078445435
63,4580,-6.756678581237793
67,3767,4.521599292755127
68,3468,1.5923858880996704
70,4370,1.325299859046936
71,3054,1.141735315322876
72,3760,-2.150538206100464
73,3914,-0.762401819229126
74,3883,-7.133944988250732
76,4645,-0.8655222058296204
77,3910,-0.9383302927017212
78,3285,-0.9953274130821228
79,3492,2.634493589401245
81,3191,2.8582897186279297
82,4382,-7.138920783996582
83,4649,5.029449939727783
84,4231,-5.679135799407959
87,4698,6.383021831512451
88,3336,-4.539852619171143
89,3918,3.9593417644500732
90,3439,-3.590073823928833
91,3885,-0.05364704132080078
92,4613,5.215506076812744
94,3456,-0.6922739148139954
95,3972,-3.7284815311431885
97,2996,-3.776435613632202
98,4724,-1.5203217267990112
99,3940,-0.3218056261539459
100,3190,0.25363636016845703
101,3383,5.388535022735596
105,3199,0.16108806431293488
107,3264,-5.4879984855651855
108,3947,0.21850034594535828
109,3296,0.5997188687324524
110,3196,1.598235011100769
111,3471,0.38270676136016846
112,3098,-3.901174306869507
