,CH,W,CO,UW,NN,DT,RB,JJ,IN,GF,SMOG,RIX,DC,WT,S,LW,CW,NBW,DW,index,split
0,386,66,1,52,17,7,2,7,6,9.248484848484848,10.125756701596842,2.8333333333333335,8.249221212121213,54,6,17,9,38,14,0,train
1,435,85,3,71,25,11,3,4,11,7.741176470588235,6.742157984588678,1.4,8.566523529411764,70,5,8,2,48,15,1,train
2,240,46,0,35,9,8,0,3,7,7.0028985507246375,6.42735559955562,2.3333333333333335,8.859424637681158,35,3,7,1,25,10,2,train
3,347,67,2,52,13,8,3,3,10,9.530348258706468,6.42735559955562,3.0,6.865278109452737,52,3,9,1,28,4,3,test
4,375,74,2,56,13,6,5,5,8,9.562162162162162,8.841846274778883,1.75,6.687883783783784,55,4,7,4,33,6,4,train
5,624,113,4,78,27,19,4,5,17,14.703716814159293,13.348371206891418,4.6,9.508433451327434,80,5,23,16,62,27,5,train
6,463,89,0,65,20,10,4,5,13,11.147191011235956,9.516144504307135,3.0,8.110998876404494,64,4,14,5,39,15,6,train
7,437,84,2,70,16,6,6,4,9,8.14857142857143,7.554174236665414,2.2,7.665375238095238,66,5,10,3,48,15,7,train
8,396,75,4,58,14,9,5,3,10,13.200000000000001,11.20814326018867,3.6666666666666665,8.455566666666666,57,3,12,6,37,12,8,train
9,684,139,2,87,15,9,8,4,18,15.338848920863311,11.698219412168324,5.25,8.086430935251798,85,4,21,9,59,15,9,train
10,426,83,2,58,11,7,11,4,9,5.113855421686747,5.985473137389441,1.0,7.765678313253012,57,8,9,2,39,7,10,test
11,1129,204,8,126,50,25,13,15,26,9.946218487394958,10.125756701596842,3.0714285714285716,8.77115462184874,118,14,42,21,115,42,11,test
12,646,117,4,75,25,19,11,6,16,9.610683760683763,9.827888789773866,2.625,8.950447008547009,73,8,22,11,69,26,12,train
13,485,95,2,66,19,14,3,4,8,9.218045112781954,9.957137785484202,2.142857142857143,6.63659022556391,66,7,16,10,48,9,13,train
14,765,139,4,104,32,12,9,9,20,8.418550724637681,9.3871,2.5,8.440110434782609,103,10,26,12,81,28,14,train
15,205,36,0,34,9,2,3,1,5,5.911111111111111,6.42735559955562,1.3333333333333333,7.7405888888888885,34,3,5,1,24,4,15,train
16,771,132,14,99,30,15,9,7,15,12.391341991341992,11.765960540728905,4.857142857142857,8.878177922077922,92,7,35,16,84,29,16,train
17,383,70,3,52,22,12,1,7,8,9.028571428571428,9.3871,3.0,8.391185714285715,49,5,16,6,41,15,17,test
18,315,59,2,40,18,14,1,4,9,9.967796610169493,10.125756701596842,2.5,7.579625423728814,38,4,11,6,31,8,18,train
19,676,128,8,87,26,18,9,7,13,9.126388888888888,9.444778638647367,1.5555555555555556,7.795984722222222,83,9,14,11,81,20,19,test
20,738,128,9,87,31,24,2,9,16,17.8,14.554592549557764,8.25,10.158075,87,4,32,16,72,30,20,train
21,1089,179,7,116,36,24,15,10,19,12.894040968342646,13.023866798666859,4.416666666666667,9.139830353817505,111,12,52,36,118,48,21,train
22,272,53,3,43,11,8,3,4,6,8.576100628930819,7.793537801064561,2.0,7.789936477987422,42,3,6,2,25,7,22,train
23,67,12,0,10,4,3,3,1,1,5.733333333333334,7.168621630094336,2.0,7.8816,10,2,4,1,7,3,23,train
