,essay_id,pred
1,18399,18
2,19165,15
3,19333,10
4,18874,15
5,18217,15
6,19162,15
7,18237,12
9,19229,15
10,18627,15
11,18325,12
12,19212,15
13,19107,12
14,18977,12
15,19096,18
16,18429,12
17,19208,12
19,18919,15
20,18925,18
23,18374,12
24,19176,15
25,18362,15
26,18442,18
27,18345,15
28,19025,12
29,18535,10
30,19202,15
31,18656,22
32,18354,12
33,19017,15
34,17933,10
35,19331,15
36,18244,18
37,18934,12
38,17937,10
39,19275,12
40,19007,12
41,18554,15
42,19546,12
45,19187,18
46,18525,18
47,18108,5
50,17867,15
51,17917,10
52,19378,12
53,18780,18
54,18713,18
55,18727,12
56,19353,10
57,18142,22
58,19108,18
59,19286,10
60,19311,18
61,19213,12
64,18530,12
65,18715,15
66,18152,10
67,18765,15
68,18718,5
69,18391,22
70,18219,15
71,18572,12
72,18026,24
73,18857,18
74,19398,5
75,19000,15
76,18974,15
77,18336,15
78,18185,15
79,19375,18
80,18295,12
83,18682,12
84,18674,15
85,18015,12
86,19168,12
88,18187,15
89,19057,12
90,18807,12
91,19332,12
92,19507,22
93,18132,18
94,19448,12
95,17943,10
96,19082,10
97,19524,18
98,18871,15
99,18528,15
101,19211,15
102,18768,10
103,19319,10
104,18463,15
105,18654,18
106,19241,15
107,17910,15
108,18706,12
109,18276,18
111,19129,10
112,18764,10
113,18210,12
114,19293,18
115,18481,15
117,18011,10
118,18761,18
119,19342,15
120,19318,12
121,18201,10
122,18605,15
123,18759,18
125,18234,15
126,17986,15
127,19422,15
128,19163,12
129,18008,18
130,18837,18
132,17924,15
133,18995,12
134,18073,12
135,18661,12
136,19457,15
137,19011,12
139,19428,10
140,19281,12
142,19146,18
143,18381,12
144,18266,15
145,17847,18
146,18164,18
147,19404,15
148,18708,15
149,18196,10
150,17851,12
151,18588,18
152,18903,10
153,19302,15
154,18256,12
155,19086,18
156,19192,22
157,18251,12
158,19018,18
159,19380,15
160,19186,22
161,19516,18
162,19264,12
163,18124,15
164,18445,18
165,19175,12
168,19481,12
170,18503,18
171,17922,18
172,18050,12
174,18951,18
175,19320,5
176,19362,12
177,19178,10
178,18632,10
179,18407,15
181,17927,5
182,18106,10
183,18226,18
185,18402,12
186,18834,15
187,17869,12
190,19500,10
191,19259,15
192,18533,10
193,19194,12
194,18064,12
195,17931,15
196,18378,18
197,18566,10
199,18136,18
200,18553,18
201,19092,12
202,17920,12
203,17901,12
204,19072,22
205,19119,12
206,18261,15
207,19073,10
208,17984,15
210,18046,5
211,19083,15
213,19307,18
214,17944,10
215,17854,15
216,19051,10
218,18200,15
220,18029,18
221,18961,12
222,18935,12
224,19497,10
225,19533,10
226,18346,18
227,18886,15
228,17963,12
229,18686,18
230,18814,22
231,17908,20
232,18353,12
233,18184,10
236,18281,18
239,18468,15
240,19323,10
241,19479,5
242,19534,12
243,18942,12
245,18107,10
246,19416,18
247,18071,12
248,18338,18
249,18923,15
250,19174,15
251,18769,12
252,18681,12
253,18658,10
254,19249,12
255,19242,15
256,19185,15
258,18600,22
259,18613,18
262,17977,18
265,19064,10
266,18212,15
267,18134,18
268,18800,15
269,18235,12
270,18038,20
271,18504,10
272,17978,12
273,19350,15
275,18872,15
276,19373,10
277,18546,5
278,18098,22
280,18172,18
281,19290,12
282,17945,15
283,18609,12
286,17928,12
289,18498,18
290,19476,12
291,19561,22
292,19432,15
293,19384,10
294,18294,22
295,19152,15
296,18574,10
297,18571,18
298,18373,18
299,17941,10
300,19556,18
301,18466,10
302,18740,18
304,18984,15
305,18620,12
306,18109,10
307,19429,15
308,18150,15
309,19169,15
313,18863,12
315,17914,18
316,18342,15
317,19197,18
318,18075,18
319,18254,12
320,19280,10
321,18539,15
322,19520,15
323,18973,18
324,19327,12
325,18711,12
327,19008,15
328,18121,10
329,18805,15
332,18826,18
333,19408,15
334,18231,18
335,17845,15
336,18102,10
337,18645,12
339,19351,15
341,19103,12
342,17873,18
343,18057,12
345,17926,18
347,19255,10
351,19361,12
353,18779,15
354,18020,12
355,18384,5
357,19504,15
358,18832,15
361,18499,18
362,19488,10
363,19179,15
364,19041,12
365,18684,12
367,18593,18
368,18659,12
369,18731,15
370,18762,18
372,18426,10
373,19205,22
374,19100,18
375,18375,10
376,19171,10
377,19523,18
378,18228,18
379,18035,15
381,19462,18
382,18170,12
385,18394,15
386,18019,15
387,19246,10
389,18737,0
390,17893,12
391,18131,15
392,19012,15
393,19371,10
394,19149,12
395,19109,18
396,17952,12
397,18512,12
399,18051,18
400,18791,18
401,18250,22
402,19315,12
403,18517,18
404,17853,12
405,19508,12
406,19296,15
407,19414,15
408,18892,22
409,19254,10
410,18013,12
411,18998,12
413,18305,10
414,19490,10
415,18383,10
416,18801,15
417,18084,12
419,18202,18
420,18317,15
422,19484,12
423,19424,10
424,18515,22
425,18446,10
426,18751,18
427,18819,15
428,19553,12
429,18497,12
430,18860,12
431,19239,18
432,19127,12
433,18441,10
435,18001,10
437,18154,12
438,19389,15
442,19170,18
443,18392,12
445,19114,12
446,18036,10
448,18743,12
449,18584,22
450,17998,20
451,17976,18
453,19300,10
454,18300,12
455,18413,10
457,19537,10
460,18868,22
462,18409,15
463,19326,12
464,18163,15
466,19203,12
467,18917,15
468,18186,12
469,19156,12
472,18694,18
473,19161,15
474,18849,12
475,18000,18
476,19403,12
477,18702,12
478,19122,12
479,18668,22
481,18943,18
482,18885,10
483,19501,15
484,19166,12
485,19381,15
486,18592,5
487,18171,15
488,19526,15
489,19303,12
490,19521,15
491,19078,15
492,19336,18
494,19065,12
495,18660,12
496,19124,12
498,19245,12
499,17865,10
500,19060,12
503,19009,12
504,18262,12
506,19385,15
507,17950,10
508,18720,12
509,19183,12
510,18858,12
511,18255,15
512,17981,15
513,19049,18
514,18978,22
516,19357,15
517,18435,10
518,19085,15
519,19004,12
520,18242,15
521,19209,18
523,19013,12
524,17982,12
525,18507,22
526,17905,10
528,18079,15
529,19101,5
530,18700,12
531,18292,18
532,19189,10
533,18811,18
534,18662,22
536,19285,12
537,18012,12
538,18845,15
539,18638,12
540,18089,12
541,19093,15
542,19247,12
543,18070,12
544,18418,12
545,18489,22
548,19217,12
549,17911,12
550,18551,12
551,18518,12
552,18477,18
553,18967,10
554,18695,22
555,18306,12
559,19496,15
560,18460,12
561,17919,22
562,18370,5
564,19543,15
567,18540,15
568,18610,12
570,19310,10
571,19039,10
572,18642,18
573,19033,15
574,19463,18
575,19256,12
576,19155,10
577,18644,18
579,18484,15
581,18639,10
583,19062,12
584,18726,24
585,19125,15
588,19297,18
589,18836,18
590,18875,15
592,19261,12
593,19358,12
594,18501,15
595,17985,12
596,19328,0
597,18357,15
598,18691,18
599,18097,18
601,18494,15
602,18773,15
604,18455,10
605,18839,15
606,18297,12
607,18195,12
609,19226,12
610,17899,22
611,18218,12
612,19301,18
613,17844,12
614,18884,12
615,18968,15
616,19270,18
617,17940,10
618,18586,12
619,19265,20
620,18906,10
621,19480,12
622,18143,18
624,18430,15
625,18793,15
627,18825,18
628,18878,15
629,18738,15
630,18911,10
631,19538,12
632,17862,10
634,19154,12
635,19515,18
636,18167,12
637,18257,15
638,18205,12
639,17965,15
640,18904,15
641,17915,12
642,19024,12
643,18649,12
644,18970,15
645,18910,18
646,19382,18
647,18902,10
648,18056,18
649,18541,15
650,18578,5
651,19068,18
653,19130,12
654,18333,10
655,18657,15
656,18412,15
657,19200,18
659,18999,15
661,18579,10
664,18521,18
665,19441,15
666,18037,10
667,17898,15
668,18816,20
669,19340,10
671,18220,18
672,18302,12
673,18981,12
674,18248,12
675,18537,10
676,17871,22
678,19499,18
679,18993,10
681,18822,10
684,18427,12
685,18491,15
686,18552,18
687,17971,15
688,18303,12
689,19388,15
691,18590,15
692,18946,18
694,19061,18
696,18432,12
697,17876,22
698,18640,12
700,19167,15
703,19494,15
704,17903,10
705,18924,15
706,19042,10
707,17988,12
708,18318,10
709,19047,12
710,19282,18
711,19346,24
712,18891,12
713,18189,12
714,18458,18
716,18287,12
717,19341,15
718,18790,12
719,19563,18
720,18423,15
721,17894,15
722,18519,15
724,17864,10
725,18436,10
726,19201,18
727,18898,12
728,18932,12
729,18180,15
730,18033,15
731,18054,15
732,18634,15
733,18103,5
734,18042,12
735,19272,20
736,18776,18
737,18100,12
738,17882,10
739,18777,10
741,18114,15
742,18976,12
745,18450,24
746,18716,15
748,18480,20
750,18561,12
751,19562,12
753,18198,18
754,19383,12
755,19437,12
756,19292,12
757,18827,15
759,18783,10
761,18223,15
762,19366,22
763,18031,12
764,18330,10
766,18709,12
767,18545,12
768,19478,15
769,19548,12
770,18994,12
771,18253,15
772,17938,15
773,18567,18
775,18685,18
776,19238,15
778,18771,20
779,17884,10
780,17974,15
781,18461,5
782,18835,20
783,18246,15
784,18701,18
785,18053,18
786,19117,12
787,18403,12
788,18712,12
789,18206,12
790,18757,18
791,18341,12
792,18062,15
793,18312,18
794,18112,18
796,18985,15
797,18683,18
798,18014,18
799,18211,15
800,19334,18
801,18710,10
802,18945,20
803,18853,22
804,18471,18
