index,essay_id,essay_set,essay,score,split
967,18263,7,When I was patient I was in line at gender point for the @CAPS1 we got to cedar point late so we went to the end of the line there was a sign have way through that said your wait will be @NUM1 hour so we stad in line for an hour finally we got to the front I was so exited as I was walking up the stairs I realized I just awaited an hour and @NUM2 minutes to ?? this and then I rode it ??? was ???,11,train
1410,18599,7,"I am not a patient person. I hate waiting for anything and everything, and I complain about difficulties with myself and others. I play volleyball on a team for my school. There are a few girls in my team that completely kill my patience. Am sure the other girls on my team feel the same way. This few girls are pretty nice people but volleyball is just what the ???for them. In practice, one of these girls doesn't even try. She even sad  so herself that she is going to shop a few practices that would ??? her attitude was driving me mane. Another girl trys pretty hard, but shes boring, controlling, and she thinks she knows absolutely everything there is to know about volleyball. I think she made one over hand ??? these years of playing volleyball, and she thinks she can do it every time now. She can rarely serve underland n crying out loud! This hot girl, oh my god I don't even know where to begin on how much of my patience goes into her. She was probably the wast player on the team, and now that shes broke, her pinky finger, she could be even worse considering how she hasn't played in about three weeks. But since she's still part of the team, she goes to all of our games and diccers us on and trys to act cool but fails miserably. It is actually kind of funny. Now, I knew that these girls hard quite a bit of practice, and I know it wont happen overnight. But I guess I'll just have to put up with them and keep many patient.",20,train
396,17952,7,"That is the time I was to be patient.  Hope you enjoyed I am not a very patient person very rarely have I been patient. But, there is sometimes I was. I still remember three years ago when I was in @NUM1 grade my whole day was full of patience. That day I was getting picked up early. I was getting picked up early from school because that night I was going to the @ORGANIZATION2 and @ORGANIZATION1. When I woke up I was so excited! I had been waiting for that day for a whole four months! I was so happy it was finally the day; when I got to school I had to tell everyone the news. My friend went a few days before and said it was a good @ORGANIZATION1. When it was getting close to the end of the day the speaker in my classroom went @CAPS1 then the lady and I had ?????????? for an early ?? mission I had been waiting for the moment! After I got picked up we went and picked my cousins up from school too! Then we went to there house got ready and we were off to a day we had all been waiting for.",21,train
568,18610,7,A time l had to be parcint was at the doctor tick tock. The clock went around and around. It was so boring are started to say the abc's forwards and back yards every time a doctor came out they did not call me l sat and sat with nothing to do I tride to fall asleep that did not work l tried to wach t.v but the only thing that was on @CAPS1 @CAPS2. Finally after two hours the called me in,10,train
1175,18523,7,"Everybody loves @CAPS1, and they all have to be patient for it. Especially on the @TIME1 of @CAPS1 @CAPS3. Everybody in my family always gets very excited and cant wait until morning, especially me. I get so excited I can hardly sleep. In fact, last year had to be the hardest. It was @NUM1 am on @CAPS1 morning and I had woken up for no reason. I decided to go back to sleep and did for only about thirty minutes when I woke up again. I just couldnt fall asleep! I went downstairs with a couple blankets and tried to go to sleep when I saw the huge amount of stuff just sitting there. I sat up and looked around at them. I was so excited but I remembered that I would have to wait until everyone woke up. So I tried to go back to sleep. I would close my eyes and sleep for about four minutes at a time and eventually stopped trying. It was @NUM2 am. I turned on the @CAPS5, threw in a movie, and waited. At @NUM3 am most of my brothers were up and I couldnt take it anymore. I snapped and started to complain. I had become very impatient. I finally was told yes and began to open my presents. I was finally happy.",21,train
526,17905,7,I was patience wen I wanted my thot @NUM1 and I hod to wait to my b-day to get it I was patience to get my new fone but I had to be good and school and that was hard for me because I use to all ways be bad and staff like that I use to want everything but I use to have to be patience and I use to always be good to get it.,8,train
1462,19035,7,One time when I was patient was my birthday I was turning @NUM1. I was very excited because I knew that I was getting a cell phone and thats all I wanted. All of my friends had them I just wanted one because if my mom had to pick me up for something and didnt know where I was. It is just a need right now because they are very helpful. My birthday was  on a @DATE1 so the night before I was at the football game everybody was asking if I was going to get me and I kept on telling  them yes Im getting it tomorrow. I woke up the next morning and ran downstairs. The first gift that I got was the cell phone and I was really happy and I started to get all of my friends numbers. I learned when your patient and not asking you will get what you want.,16,train
204,19072,7,"@CAPS1 I fell on my butt, again. I was trying to throw a front-full for cheer. A front-full is a big twisty thing in the air. I almost had it, I just couldnt land it. My gymnastics coach has been very patient with me, he has been working with me for about a month, on this one trick. I wanted to make him proud, he is like a brother to me. His name is @LOCATION1, I have known him since third grade. Whenever he sees me he says my baby! and gives me a hug and kiss on the forehead. @PERSON1 can do many amazing things, he has competed many times. He taught me my back handspring, the first trick I had. His patience helps me, but sometimes it doesnt. I am happy he is patient but sometimes he is too patient. Sometimes I would rather have him push me harder. Whenever I think he gets disappointed in me, I feel really bad. I always give it my all when I feel like that. It is an amazing feeling when you get it for him. @CAPS1 I feel on my but, again. Instead of the normal, enthusiastic try again, it was flat and bored. I went to the edge of the floor. My adrenaline was pulsing. I was going to get this! As I ran and jumped everything was good. I did the trick, and landed! For about a second anyway. My feet slipped and from under me, @PERSON1 came running to me smiling. He was proud of me, even though I didnt stick it. We kept working and eventually I got it! I was really happy to tell my cheer coach, but even happier that I did it for @PERSON1.",22,train
377,19523,7,"A time when I was patient was when we were leaving on vacation. It seemed like I had been waiting forever to go to @LOCATION1, really it had only been about a month. I was so excited, but I had to be really patient. Sometimes its hard for me to be patient because I like things to be done right away, so waiting a month to go to @LOCATION1 was very hard for me. The night before we left was probably the hardest. I was so excited I couldnt sleep at all. The day we left I was so excited and I was running all around the house yelling.  Finally we loaded up the car and left for @LOCATION1. We drove our car there so it took almost @NUM1 days. But it was worth it, @LOCATION1 was really fun and pretty. We also went to @ORGANIZATION1 and had an awesome time. I had to be patient at @ORGANIZATION1 since there were long lines for the rides, so we had to wait a while. I had a really fun  time in @LOCATION1!",19,train
638,18205,7,"In the beginning, I woke up from sleeping and felt real sick, @CAPS1 I took a shower and put on my clothes. I told my dad can I go to the doctor because I feel sick???? @CAPS1 he said we will leave @NUM1 am and it was @NUM2 am. Then, I had to wait on the couch while my brothers, my dad and my mom were talking showers. After that, I wanted to yell and complain because they were going too slow and tried acting @CAPS1 beautiful. @CAPS1 I didnt. When they finished they had to look for the keys until they found it. It was @NUM3 am and my dads favorite music was on @CAPS1 we stayed and watched the whole movie. In the middle, it was @NUM4 am and then we went to the doctor and had to stay waiting for everyone to get there turn until it was @NUM5 which is our turn. We actually made an appointment. They checked what was bothering me and it was nothing. @CAPS1 I left and I still waited until my brothers finished. In the end, I was @CAPS1 pissed off because I had to wait for them to get in the car. My dad said Are you happy? You said that you feel sick and there is nothing wrong with you. @CAPS1 we went home thinking that I had been patient for the whole day. I was saying to myself I learned my lesson and it is if you are patient the day can go fast.",20,train
772,17938,7,"Patience is important in life. Something when you dont have patience things tend to go wrong and thats not always a good thing so here are somethings when you do not have patience. If you dont have patience you can get into trouble. For example if you were in a long line for something and you couldnt talk because if you did talk you would get in trouble. So if you didnt have any patience you would probably say @CAPS1 my gosh this is taking forever. Then you would get in trouble for talking. Here is another reason why you should have patience. You should have patience for an example if you didnt you would need patience if you were sick and you went to the doctors office and there was a really long line you would probably say for get it and then go home. So if you went home you would get even more sick and that would get even more sick and that would be bad. Finally, another reason on if you didnt have patience. For example say you wanted to go the mall and bye a new pair of shoes. You went into the store and you found a pair that you liked and they fit just right. But when you went to go check out the cash regaster didnt work so they had to call maitnence, to come and fix it and they told you that it would be an hour. So you sat and waited for twenty minutes but you did not have any patience so you said for get it and you left and didnt get the shoes. Those were some people who didnt have patience. But if they did that wouldnt of happened to them because they would of waited or needed. Having patience is a good thing but not having it is not.",9,train
1435,18611,7,Oh a time when me and my mom was patient is when we had to sit and wait for my mom to get her tags because it was her birthday that day. So it all started that morning we had woke ate breakfast and took our shower and put on our clothes did our hair. and brushed our teeth and bought time all that was about @NUM1 them after we did all of that we had lift then we had stayed in mouth ??? and bought time. all had got to @CAPS1 it our @NUM2 and we were both hungry so we stoped at ??? king and that was the day I had to be patient.,14,train
50,17867,7,"I am not a patient person at all. But sometimes I have to be like my birthday for instance, I would love it if my birthday came at least every month. But of course, I only have @NUM1 birthday a year, so I have to wait. I would like to be a patient person. Its just not in the cards for me. My father on the other hand is more patient than anyone. I know he will tell me to clean the car @DATE1 I told him I didnt do it yet so he says he will give me more time. I couldnt be that patient with my kids. I would tell them to clean it now or they would be grounded. I wouldnt force them to or anything but Im not gonna wait a whole month before I get my car cleaned! I guess I could try to be as patient with my father but that would be really hard. Although if Im patient, Im sure I will be able to do it!",16,train
1154,19031,7,"One day my mom came home from work. She came in and said @CAPS1, do you want to go shopping for your clothes @CAPS2 or later? I chose @CAPS2. So my mom changed her clothes and we were off to the store. It was around @NUM1 so it was rush hour. It seemed like it was taking forever and I was getting mad. Then my mom said be patient and it will be over soon. This is a time when I was patient. After ten minutes, things started to clear up. It still took a while but it was getting better. In less than twenty minutes we were pulling up in the @LOCATION1 parking lot. There was a few cars in the lot but it didnt seem like much. When we got into the store thats when I really was mad. The lines for you to purchase your items lead all the way to the back of the store. Then my mom said @CAPS2 look. The lines are long as you can see. Are you sure you can handle this and have patients? Ill try. I said. After we got in the store we were looking for my clothes, we were looking at the long lines also, to see if they went down some. We got my clothes, then got in line. We spent about an hour worth of time in the line and it made me mad. Not only did it make me mad, it made me hurgy because I skipped lunch. When we got out of the store, we were happy and hungry. We left the store and went to @CAPS3.Donalds. When we were down the street from @ORGANIZATION1, there was this traphic line we got closer and closer to @ORGANIZATION1 and then realized that line was the @ORGANIZATION1 line. We got in the lot and I knew for sure that I was going to have more patients. So we waited and the line went really fast. We got up to the spoorker and my mom ordered a fish sandwich for her and a chicken sandwich for me. We got to the next window and they gave us our food. When we got our food, the lady said @CAPS4 you for your patients. Then she asked us would we like a free frie of any size for our wait. We told her yes and we will take a large frie. My mom turn to me and said Do you see what happens if you be patient? I said yeah and patients is a good thing to have. That was a time when I was patient.",21,train
1492,18173,7,"When I was about nine years old. I took my homework home with me. I showed one of my older brothers, my homework. He look at it then he started helping me with it. Then he did a couple of answers. To show me what I had to do because I didnt really know how to do my homework. So he had to do his homework so he told me to do my home work. So I started to do my homework I did all of my questions correct. But it was a realy hard question on it. T wanted to ask my older brother. But instead I didnt do that because he was doing his work. So I did it myself.",14,train
211,19083,7,"@CAPS1 were gonna be late! yelled my baby cousin @PERSON1 from across the room. She had her big, blue snowcoat and cute red boots on. She began to jump around and it made me laugh easily. @CAPS1 were gonna be late! yelled my baby cousin @PERSON1 from across the room. She had her big, blue snowcoat and cute red boots on. She began to jump around and it made me laugh easily.You see, I was going on a skiing trip with my parmls, my cousin @PERSON1, and her parents. I was estaric. My parents were spending a lot of time talking to @PERSON1s parents before we left, so @PERSON1 was a little whiny about not going right away. I tried to ???? @PERSON1, do you want to play @CAPS3? I asked safely, tapping her shoulder. When I said that, her eyes seamed to grow twice their size. @CAPS4! @CAPS4! @CAPS4!  Madison yeah! I wanna play, I wanna play! @PERSON1 yelled??? . Though she made it sound like ??? I smilled and we began tro play. She would guess??? I would let her win. ??? was so ??? and I think I made her more patoient to leave by helping her play a game.Finally my parents walked outside and we began our skitrip. Patience had payed off.",20,train
278,18098,7,"That warm tear running down my cheek, the hot wind blowing my blond hair out of my face. The only thing I could think about was why god had to take her so soon. Lets go back a week ago. We had just got the news my grandmother was going up to heven with the angels very soon. As soon as the next day we were on a plane heading to @LOCATION1. This was my dads mother; he was calm at the time but we all had to be patient with him because he was the closest with her out of the @NUM1 children. When we finaly took off we were in turbulence the whole @NUM2 hour flight. Which ment we couldnt get up, @CAPS1 food, @CAPS1 @CAPS3 and also the queezy feeling in your stomach. It was the @CAPS4! Flying experience Ive ever had. I flew all the time, just this time it was horrible! We had to take @NUM3 stops till we got to the @LOCATION1. Then another @NUM4 minutes till our bags came in. I was so happy to get out of that death trap! When we got to the house, I had my last time with my grandmother. Its a : memory I will never forget. The stuborn little smerk on her face when we walked in was priceless. One thing I will never forget was my nickname from her chicken little.",22,train
1526,18492,7,"I was patient before; I went hunting with my dad before, @DATE1. I was in the blind with him for a long time, waiting for deer to come in. He said they come in at night, or towards late afternoon. We waited forever, when they finally came in, me and did not get one. Some other guys shot one they all run way. We waited maybe, ten more minutes, and then went in we were all there from @TIME1 until @NUM1. I was patient the whole time.",17,train
162,19264,7,"When I was @NUM1 years old my mom use to be unpatient all the time and got so annoyed at! But then one day she was going to take a shower but then people kept on going and she got patient for a while and I got up there. I saw her and hide. As I peeked from end to end she was still standing there, almost falling asleep and she was still patience. Another stepped in the bathroom and I quickly went there and said @CAPS1, excuse me but my mom is coming, shes been waiting. So I woke up my mom mom, mom wake up go take a shower! and she woke up and took a shower, after she came out ahh it kind of feel good that was better. The end.",11,train
