,index,split,essay_id,c9 (N),c9 (Y),c7 (N),c7 (Y),c10 (N),c10 (Y),c5 (N),c5 (Y),c11 (N),c11 (Y),c3 (N),c3 (Y),c1 (N),c1 (Y),c4 (N),c4 (Y),c2 (N),c2 (Y),c6 (N),c6 (Y),c0 (N),c0 (Y),c8 (N),c8 (Y)
0,0,train,21452,0.5216460227966309,0.434868723154068,0.5184404253959656,0.4346401989459991,0.5164796113967896,0.4327594637870788,0.5201044678688049,0.434171199798584,0.5186587572097778,0.4341882765293121,0.519747793674469,0.4351827502250671,0.5199934840202332,0.4362045228481293,0.5231928825378418,0.4378367364406585,0.5219494104385376,0.4324907660484314,0.5238067507743835,0.4327214062213897,0.5199970602989197,0.4354526698589325,0.552959680557251,0.4275110363960266
1,1,train,20902,0.3489196002483368,0.576685905456543,0.3554632663726806,0.5695217847824097,0.3491524457931518,0.5791346430778503,0.3613596856594085,0.5624523758888245,0.3659074902534485,0.558880627155304,0.3932700157165527,0.518985390663147,0.3683168888092041,0.5552934408187866,0.3511969447135925,0.5768903493881226,0.3667361438274383,0.5582103729248047,0.381937712430954,0.5451101660728455,0.3664455711841583,0.5560919642448425,0.4591861963272095,0.4661710262298584
2,2,test,21412,0.4763422608375549,0.4525463879108429,0.4808195233345032,0.4484066069126129,0.4753005504608154,0.4540593326091766,0.4827704727649688,0.4429698288440704,0.4858474433422088,0.4418997168540954,0.5022536516189575,0.4265449047088623,0.4874364733695984,0.4408361613750458,0.477811723947525,0.4536094069480896,0.4879786074161529,0.4407658874988556,0.4955193102359772,0.4352498948574066,0.4868097305297851,0.4401352405548095,0.5319332480430603,0.4007689654827118
3,3,train,21015,0.3179656267166137,0.5857928395271301,0.3191457986831665,0.5820140242576599,0.318877249956131,0.5890331864356995,0.3222399055957794,0.5776016712188721,0.3261321485042572,0.5743960738182068,0.3581804931163788,0.5397029519081116,0.3284498155117035,0.5715287923812866,0.3174843490123749,0.5874272584915161,0.3272947072982788,0.573720395565033,0.3379338085651397,0.5630925893783569,0.3272910416126251,0.5721092820167542,0.4229231178760528,0.4826895296573639
4,4,train,21180,0.3772153258323669,0.5757042765617371,0.3808028399944305,0.5722880363464355,0.3752514123916626,0.5769929885864258,0.3863076865673065,0.5671708583831787,0.389304906129837,0.5645076632499695,0.4286953210830688,0.5357760190963745,0.3952982425689697,0.5622168779373169,0.3764185011386871,0.5774020552635193,0.3897646069526672,0.5642448663711548,0.3988161981105804,0.5577806234359741,0.392010897397995,0.5626717805862427,0.4789902567863464,0.490892231464386
5,5,train,21004,0.461497962474823,0.4845732152462005,0.4629526138305664,0.4836102128028869,0.4650073051452636,0.481266051530838,0.4619526863098144,0.4846386313438415,0.4625976085662842,0.4852819442749023,0.4613556265830993,0.4856618642807007,0.4610738158226013,0.4880338013172149,0.4628669917583465,0.4858154356479645,0.4691254794597626,0.4790892302989959,0.4712872803211212,0.4807042181491852,0.4622649848461151,0.4844274818897247,0.4879998564720154,0.4768374264240265
6,6,train,21553,0.5657345056533813,0.4304375350475311,0.5675466060638428,0.4316491782665252,0.5677680969238281,0.4284704029560089,0.5678209662437439,0.4312767088413238,0.5700674057006836,0.4305934011936188,0.5702449083328247,0.4298998415470123,0.5705127716064453,0.4345605075359344,0.5676485896110535,0.4349718689918518,0.5719274878501892,0.4277268350124359,0.5743356347084045,0.429115891456604,0.5693511366844177,0.4330315887928009,0.5849446654319763,0.4273921549320221
7,7,train,21156,0.3632021248340606,0.6000900268554688,0.3630593717098236,0.5952458381652832,0.3657835721969604,0.6008313894271851,0.3689777255058288,0.5894322991371155,0.3720168471336365,0.5868465900421143,0.4017090201377868,0.5375445485115051,0.3751356899738312,0.5822654962539673,0.3628968596458435,0.5996069312095642,0.3742606043815613,0.5852503776550293,0.3841271996498108,0.5752284526824951,0.3720863759517669,0.5836731195449829,0.4652257263660431,0.4798448979854584
8,8,train,20935,0.3949293792247772,0.5627464652061462,0.4003138244152069,0.5583207011222839,0.394679993391037,0.5627671480178833,0.4077800512313843,0.5513750314712524,0.4111319184303283,0.5493614673614502,0.4537745118141174,0.5164968967437744,0.4170578122138977,0.544318675994873,0.395456999540329,0.5632226467132568,0.4123725891113281,0.5478677153587341,0.4229258894920349,0.5381060838699341,0.4137834906578064,0.5466954112052917,0.5115035176277161,0.4678269028663635
9,9,train,21571,0.4111176133155823,0.5440468788146973,0.418130099773407,0.5360217094421387,0.4089357852935791,0.5465328693389893,0.4266126751899719,0.5285022854804993,0.4301373660564422,0.5272052884101868,0.4685634970664978,0.4934810996055603,0.4359154999256134,0.5234485268592834,0.4116784036159515,0.544238269329071,0.432125836610794,0.5250543355941772,0.4486910700798034,0.5127072334289551,0.4323444068431854,0.5244571566581726,0.5404816269874573,0.4315564036369324
10,10,train,20929,0.545285165309906,0.4334335923194885,0.5396085381507874,0.4369862675666809,0.541420578956604,0.4289089143276214,0.542612612247467,0.4326587617397308,0.542348325252533,0.4334022998809814,0.5402436852455139,0.4296344816684723,0.5454742312431335,0.4346141815185547,0.5462474226951599,0.4345205128192901,0.5477469563484192,0.4300104677677154,0.5478917360305786,0.4264970421791076,0.5437769889831543,0.4323943257331848,0.5590963959693909,0.4170886874198913
11,11,train,21146,0.3808532357215881,0.5605141520500183,0.3835701942443847,0.5563446879386902,0.3805433213710785,0.5624427199363708,0.3923208117485046,0.5481041073799133,0.39447021484375,0.5464653968811035,0.4340260922908783,0.5141764879226685,0.4011621475219726,0.5429863929748535,0.3782997727394104,0.5630371570587158,0.3968821763992309,0.5449977517127991,0.4088452756404876,0.5370275974273682,0.3984240591526031,0.5445699095726013,0.4904526472091675,0.476269781589508
12,12,train,21589,0.4809353947639465,0.4621355533599853,0.485112726688385,0.4562712013721466,0.4772257804870605,0.4670563638210296,0.490321010351181,0.4508092403411865,0.4939328730106354,0.4491831362247467,0.5118593573570251,0.4298908412456512,0.4952988922595978,0.4480901658535003,0.4807210862636566,0.4638387858867645,0.4941054582595825,0.4479450583457947,0.5019094944000244,0.4430628418922424,0.4939874410629272,0.4455344378948211,0.5455841422080994,0.4091720879077911
13,13,train,21441,0.3186621069908142,0.5977908968925476,0.3205492198467254,0.5907341837882996,0.3190102577209472,0.6002970337867737,0.3248220384120941,0.584737241268158,0.3283211588859558,0.5820083618164062,0.3501425087451935,0.5512562990188599,0.3298756182193756,0.5789596438407898,0.3184663355350494,0.5975738763809204,0.3302924633026123,0.5810018181800842,0.3430139124393463,0.5704595446586609,0.3298182487487793,0.5786775350570679,0.418057918548584,0.5052789449691772
14,14,test,20893,0.4092797040939331,0.5229175090789795,0.4138035774230957,0.51829993724823,0.4054964184761047,0.5266709327697754,0.4233573377132416,0.5098100304603577,0.4275915920734405,0.5070756077766418,0.4619737565517425,0.4794414043426513,0.4313788115978241,0.504442036151886,0.4062554240226745,0.5248205661773682,0.4281389117240906,0.505715012550354,0.4426262378692627,0.4944752156734466,0.4304486811161041,0.5035707950592041,0.5139068961143494,0.4376988708972931
15,15,train,21518,0.4508329927921295,0.4852092564105987,0.4623860716819763,0.4735374450683594,0.4484140872955322,0.4885751008987427,0.4723824858665466,0.4663125276565552,0.4749157726764679,0.4638762772083282,0.520927906036377,0.4262109994888305,0.4831576347351074,0.4600972831249237,0.4524724781513214,0.4853473603725433,0.4755491018295288,0.4630255997180938,0.4944477677345276,0.451106458902359,0.4814021587371826,0.458534300327301,0.5743979811668396,0.3940694630146026
