,Id,pred
0,1405,3
1,462,3
2,1532,1
3,469,3
5,421,1
6,1589,1
7,427,2
8,193,1
9,44,1
11,1636,2
12,273,2
13,680,1
14,1346,1
15,1319,2
16,408,1
17,890,1
18,1423,2
20,1119,1
21,1232,3
22,1607,2
23,626,1
24,1612,1
26,783,1
27,1449,1
28,925,1
30,533,1
31,936,1
34,1547,2
35,1116,1
36,353,1
37,1597,1
38,1300,1
40,196,1
42,498,1
43,1237,2
45,1342,3
47,1158,1
48,1598,2
50,942,1
51,1421,2
52,258,2
53,984,3
54,433,1
55,988,1
56,31,1
57,478,3
58,1539,2
59,629,1
60,1365,1
64,668,1
65,204,1
66,94,1
67,505,2
68,847,3
69,1315,2
70,818,1
72,1518,1
73,164,1
74,611,1
75,615,2
77,1633,1
78,1588,1
79,1432,1
80,1118,1
81,472,3
82,896,1
83,913,2
84,666,3
85,155,2
86,1450,1
87,594,1
90,1360,1
91,127,1
93,1202,1
95,45,1
96,1084,1
97,339,2
99,840,1
100,789,2
102,1167,1
103,545,1
104,448,1
105,1143,2
106,1279,1
107,1632,3
108,1001,1
109,707,2
112,212,1
113,1396,1
114,1142,2
115,1212,2
116,1439,1
117,903,1
118,569,1
119,715,3
120,1236,2
121,873,2
122,586,1
123,365,2
124,357,1
128,389,3
129,1537,1
130,887,2
131,105,2
132,980,2
133,1491,2
134,966,2
135,866,2
136,1310,1
137,1645,2
138,1193,1
139,156,1
140,1416,2
141,1613,2
143,602,2
144,1271,3
145,1294,1
146,1324,1
148,1404,1
149,1152,1
150,600,1
151,487,1
152,1125,1
153,657,3
154,6,1
155,197,2
158,107,3
159,333,1
160,608,3
161,1593,1
162,1663,1
163,1448,1
164,1135,1
165,1028,1
166,72,3
169,454,1
170,191,1
171,1599,1
172,1133,2
173,863,1
174,234,1
176,553,1
177,1262,1
178,808,1
179,171,1
180,862,1
181,1567,2
183,455,2
184,1592,2
185,1176,1
186,1188,1
187,917,1
188,1128,3
191,466,3
192,1446,2
193,944,1
194,1068,1
195,992,2
196,434,1
197,651,3
198,1444,2
199,1223,1
200,1468,1
201,1558,2
202,1606,1
203,84,1
204,259,1
205,673,1
206,1005,1
208,121,2
209,1073,1
210,329,1
211,395,2
212,62,2
213,1571,2
215,667,1
216,1610,1
218,1576,1
219,160,2
220,512,1
221,496,1
223,425,1
225,1513,3
226,483,2
227,1092,1
228,1023,1
229,734,3
230,170,1
232,1038,1
233,618,2
234,779,3
235,366,2
236,834,1
237,1243,1
238,724,1
239,911,1
241,300,1
242,681,3
243,1534,1
244,876,2
245,1198,1
247,1311,1
248,37,1
249,491,3
250,376,1
251,1339,2
252,431,1
253,308,2
254,314,1
256,1316,2
257,394,1
258,103,2
260,82,1
262,1388,1
263,559,2
264,1472,3
265,799,3
266,610,1
267,784,2
