index,Id,EssaySet,Score1,Score2,EssayText,split
1066,257,1,2,2,"To replicate the experiment you would need to know the following information, what are four samples? You would need to know that so the experiment will be the same. They should also include the amount of vinegar that you need. The last thing they should include is are you pouring it on the sample or just in the container?",train
1072,184,1,1,1,"The procedure is not clear, they need to say the sample names because we don't know what it is. Also, they need to say why to measure the mass of the four different samples before putting it in the vinegar. Finally, they should repeat the experiment a several times so to see the difference and maybe they should keep the sample in the container for a longer time to see the results.",train
444,383,1,2,3,"I would need to know how much samples I need for this experiment. I would need to know how much vinegar I am pouring into each container. Also, I would need to know if I am letting the samples dry in the sun or not. Without these, I could not replicate this experiment.",train
1488,274,1,1,1,"If trying to replicate this experiment, you would need more information. You need to know how much vinegar to poor into the containers. You will also need to know what to label your container. How do you determine the mass of the samples when trying an experiment, you need  to make sure that you have all of the correct  information before starting your project.",train
23,626,1,0,0,I would need to know what the purpose of me doing the experiment would be and what exactly was I trying to find in order to replicate the experiment.,train
1270,322,1,3,3,"The group should be more specific including the names of the samples(Add rain sample1,2,etc.). They should specify what kind of container to pour the vinegar into in step 2. In step 4, they should say where to put the samples after they have been removed from the container.",train
1338,670,1,0,0,I would write what,train
177,1262,1,1,1,"To replicate this procedure you would need to know a few more steps. First of all, they did not say how much vinegar you would need to pour in the container with the samples. Also, they must specify when you weigh the samples to get the starting weight that they recorded. Also, they did not say when to record the data you have and how you are getting the difference in mass.",train
1426,517,1,1,1,"Additional information they could have added is mass, the weight of vinegar poured into the samples. They also could have stated what kind of solid samples into categories. 1 more thing that could be changed is have more trials with diffent samples and repeat the process used. Also, they could have waited for more than 30 mins to let the distilled water dry oil out.",train
961,1282,1,2,2,"The group would need to include in their proceedures how much vinegar would be used, because that would impact the results. They should also include the size of the seperate identical containers, which could also impact result. The group could have also included information about the vinegar's temp, which is an important constant.",train
210,329,1,2,2,"To replicate the experiment I would need additonal information. For example, how much vinegar should be poured into each container? I would also want to know the size of each sample, and make sure the surface area of each is as close to equal as possible. Lastly, I would want to know how much distilled water to rinse each sample with. With this information I am certainly capable of repeating the experiment.",train
55,988,1,2,2,If I was to replicate the experiment I would need to know how to get the mass of each sample material. I would also need to know how much vinegar you need and I need  to know the size of the cups they are using.,train
176,553,1,0,0,To replicate the experiment I would need to know what the students goal was. I always label how much of an amount to put into a container. In their procedure its that the students did not do this.,train
1237,1035,1,0,0,"In order for me to replicate this experiment, I would need a mass scale, vinegar, containers, stickers for labeling.A watch or timer and paper for it to dry after rinsing it. I would also need samples of marble,limestones,wood and plastic.",train
239,911,1,0,0,What is the independent variable and what the devendent variable also don't ^p forget about the control.,train
1153,26,1,2,2,"After reading the groups procedure I would need to know what type of vinegar they were using because it could of been any type, what was the measure of containers because the containers could have been 3 different sizes and they wouldn't have valid results, and they also should have told me what they were holding constant because I wouldn't know what variables to use or control.",train
817,303,1,3,2,"In order to replicate this experiment,you must also know how much vinegar goes in each container, how the mass is being determined and where the containers should be put for the 24 hours( what type of climate).",train
