,CH,W,CO,UW,NN,DT,RB,JJ,IN,GF,SMOG,RIX,DC,WT,S,LW,CW,NBW,DW,index,split
0,252,46,0,37,8,5,3,4,4,9.611594202898551,11.20814326018867,3.0,7.48638115942029,38,3,9,6,25,8,0,train
1,254,44,2,36,8,4,2,4,5,10.763636363636364,10.686352973137792,2.5,8.1296,37,4,10,7,20,11,1,train
2,157,28,1,23,6,3,0,2,4,11.314285714285715,11.20814326018867,2.5,8.842328571428572,24,2,5,4,13,7,2,train
3,336,67,3,49,11,8,6,5,9,11.918407960199005,10.504223727775692,2.6666666666666665,7.336621393034826,50,3,8,5,31,9,3,train
4,241,46,0,29,6,3,1,3,6,10.481159420289856,10.504223727775692,2.0,8.516163768115941,28,3,6,5,20,9,4,test
5,533,96,3,61,19,12,4,8,12,15.016666666666666,14.191785591663535,5.0,8.445441666666667,59,4,20,15,48,20,5,train
6,56,10,0,9,1,1,0,1,1,12.0,11.20814326018867,2.0,7.2905,9,1,2,2,3,2,6,train
7,133,25,2,21,6,3,1,0,3,14.8,13.023866798666859,4.0,9.2977,24,1,4,3,12,5,7,train
8,387,72,2,50,16,8,2,2,10,11.61904761904762,10.504223727775692,3.3333333333333335,7.049547619047619,52,3,10,5,37,9,8,train
9,174,31,1,28,8,3,2,2,4,8.004301075268819,9.725611199111238,2.0,8.73322688172043,30,3,6,4,18,7,9,train
10,508,93,5,63,19,12,3,3,17,14.031182795698925,13.023866798666859,5.0,8.694753763440861,61,4,20,12,44,19,10,test
11,339,59,3,42,10,8,4,3,7,17.901694915254236,15.247664890283005,5.5,9.114106779661018,46,2,10,9,31,11,11,train
12,210,41,2,27,5,4,0,1,4,20.302439024390246,14.554592549557764,6.0,8.365953658536586,26,1,6,4,13,7,12,train
13,65,13,0,12,4,2,0,0,2,8.276923076923078,8.841846274778883,2.0,9.139761538461538,13,1,2,1,6,2,13,train
14,233,42,0,31,9,5,0,4,3,23.46666666666667,18.243605946275583,8.0,10.607080952380953,33,1,8,7,27,10,14,train
15,115,23,0,19,5,2,1,1,3,8.078260869565218,8.841846274778883,1.5,7.639508695652174,19,2,3,2,8,4,15,train
16,130,26,0,23,6,4,1,2,2,15.015384615384617,13.023866798666859,4.0,7.962638461538462,24,1,4,3,8,4,16,train
17,366,68,0,48,14,8,0,1,7,7.47450980392157,8.841846274778883,1.5,7.681721568627451,46,6,8,6,30,13,17,train
18,203,37,1,33,4,4,1,3,5,16.962162162162162,11.20814326018867,7.0,8.458997297297298,36,1,7,2,14,7,18,train
19,364,69,0,44,14,8,1,3,11,13.2768115942029,12.602617957971052,2.75,7.238186956521739,41,4,11,11,26,11,19,test
20,444,81,2,47,19,12,2,4,12,13.038271604938272,12.602617957971052,3.5,8.929541975308641,49,4,13,11,46,16,20,train
21,292,52,3,39,10,7,0,4,8,10.584615384615384,11.20814326018867,2.25,8.532453846153846,42,4,9,8,31,12,21,train
22,198,35,1,32,8,3,1,0,3,12.666666666666666,11.855464076750408,2.3333333333333335,8.27545238095238,33,3,7,7,19,9,22,train
23,149,29,0,22,4,3,1,0,2,17.117241379310343,14.554592549557764,5.0,8.886279310344827,22,1,5,4,11,7,23,train
24,175,31,1,24,7,3,1,1,3,18.851612903225806,15.903189008614273,6.0,9.24893870967742,26,1,6,5,20,6,24,train
25,235,44,4,34,9,6,0,3,8,21.236363636363638,15.903189008614273,8.0,9.7664,34,1,8,5,22,8,25,test
26,249,45,0,34,9,5,1,1,7,22.444444444444446,17.122413403193683,9.0,10.780944444444444,35,1,9,6,18,11,26,train
27,312,52,0,42,10,5,2,3,8,16.164102564102564,15.021129683784007,5.0,9.658348717948718,40,3,15,13,25,15,27,train
28,348,64,2,44,14,9,3,1,5,9.525,10.125756701596842,3.25,7.63744375,41,4,13,6,28,12,28,train
29,201,41,1,32,9,4,1,2,4,12.102439024390245,11.20814326018867,2.5,7.734275609756097,30,2,5,4,16,6,29,test
30,373,69,1,49,17,10,2,2,10,7.838840579710146,9.3871,2.6,8.211269855072464,50,5,13,6,36,14,30,train
31,347,60,0,44,16,7,1,3,9,30.0,22.918633597333717,14.0,11.086333333333332,44,1,14,12,29,15,31,train
32,126,24,1,22,5,4,0,2,3,16.26666666666667,14.554592549557764,4.0,7.458566666666667,23,1,4,4,9,4,32,test
33,223,44,1,27,9,4,2,0,5,12.32093023255814,11.20814326018867,3.0,7.640574418604651,28,2,6,4,22,5,33,test
34,261,49,2,35,10,5,1,1,6,9.798639455782315,10.504223727775692,2.6666666666666665,7.346837414965987,37,3,8,5,25,9,34,train
35,521,80,5,64,22,10,6,4,9,16.507594936708863,15.579741850924794,6.5,11.012049367088608,65,4,26,19,55,29,35,train
36,227,40,0,28,7,3,2,2,1,11.333333333333336,11.20814326018867,2.3333333333333335,7.4558333333333335,28,3,7,6,18,8,36,train
37,189,38,2,34,4,2,2,3,4,7.6000000000000005,8.841846274778883,2.5,7.90311052631579,34,2,5,2,22,3,37,train
38,306,58,0,44,11,6,1,5,5,8.50701754385965,10.125756701596842,2.0,7.66751052631579,43,4,8,6,22,10,38,train
39,217,41,1,28,6,4,1,3,5,13.078048780487805,12.161744961471694,3.0,7.3491536585365855,29,2,6,5,16,7,39,test
40,547,106,3,57,23,15,5,3,18,14.373584905660378,12.161744961471694,4.5,9.419767924528301,55,4,18,10,49,23,40,train
41,200,34,3,31,8,5,0,2,5,13.858823529411765,13.023866798666859,4.5,10.052641176470589,32,2,9,6,20,9,41,test
42,188,39,0,35,6,3,0,1,5,7.251282051282051,7.793537801064561,1.3333333333333333,8.330017948717948,37,3,4,2,23,5,42,train
43,126,21,2,20,4,1,1,5,3,14.114285714285714,13.023866798666859,5.0,9.941433333333334,25,1,5,3,17,6,43,train
44,159,31,0,26,5,4,1,0,4,8.780645161290323,8.841846274778883,2.0,6.44271935483871,26,2,4,2,13,4,44,test
45,307,57,1,47,13,9,1,3,8,11.810526315789474,11.855464076750408,3.6666666666666665,7.90311052631579,47,3,11,7,26,10,45,train
46,194,36,0,29,7,3,2,2,4,11.644444444444446,12.161744961471694,3.0,7.599577777777777,29,2,6,5,17,6,46,test
47,191,34,5,30,12,4,0,3,2,19.482352941176472,15.903189008614273,7.0,9.967017647058825,32,1,7,5,22,8,47,train
48,113,16,1,16,5,1,0,2,1,16.400000000000002,14.554592549557764,6.0,13.311975,18,1,6,4,12,8,48,train
49,116,21,0,18,4,2,0,1,1,16.019047619047623,14.554592549557764,4.0,9.189528571428571,19,1,4,4,9,5,49,test
50,176,33,0,26,7,6,0,0,5,11.44848484848485,11.20814326018867,2.5,8.282778787878788,24,2,5,4,13,7,50,train
51,476,84,2,52,17,12,2,5,12,23.46666666666667,19.287186520377343,9.0,9.85517619047619,52,2,18,16,44,18,51,train
52,270,51,2,41,10,4,2,2,7,11.505882352941178,11.855464076750408,3.0,7.885386274509804,41,3,9,7,25,8,52,train
53,470,86,2,57,18,6,1,3,15,13.716279069767442,12.602617957971052,3.75,8.742202325581395,56,4,15,11,45,18,53,train
54,204,34,1,28,8,5,1,0,4,20.658823529411766,18.243605946275583,11.0,9.967017647058825,29,1,11,7,16,9,54,train
55,211,45,0,27,7,5,1,1,5,12.555555555555557,11.20814326018867,2.0,7.559611111111111,29,2,4,4,18,6,55,train
56,364,65,1,42,10,6,2,5,6,15.435897435897438,14.554592549557764,5.0,8.597935897435898,44,3,15,12,34,15,56,train
57,487,85,3,51,18,13,1,7,8,12.917647058823531,13.023866798666859,3.6,8.93805294117647,49,5,18,15,44,21,57,train
58,398,70,4,52,14,6,4,9,10,20.658823529411766,18.243605946275583,8.0,9.734811764705881,51,2,16,14,45,17,58,train
59,283,49,2,37,10,6,1,2,4,15.514285714285714,14.554592549557764,5.0,8.718638775510204,40,2,10,8,28,10,59,train
60,522,90,1,65,20,14,5,3,12,12.513258426966292,12.340626583579944,3.6,9.664436179775283,63,5,18,13,51,24,60,train
61,352,64,1,53,13,6,4,5,8,12.283333333333333,11.855464076750408,4.666666666666667,8.888852083333333,54,3,14,7,31,13,61,test
62,433,75,6,44,15,5,1,4,11,15.333333333333336,13.5591,4.333333333333333,8.6661,46,3,13,10,48,15,62,test
63,394,70,2,55,10,7,4,7,10,11.537681159420291,12.161744961471694,3.5,7.924708695652174,55,4,14,10,33,14,63,test
64,240,52,0,43,7,4,0,5,7,10.4,3.1291,1.5,6.140715384615384,42,2,3,0,16,3,64,train
65,300,56,4,45,10,7,3,0,9,11.752380952380953,11.20814326018867,2.6666666666666665,7.382009523809524,47,3,8,6,29,8,65,train
66,248,49,0,33,8,7,1,0,4,8.981632653061224,10.125756701596842,2.0,6.82205918367347,30,4,8,6,17,7,66,train
67,121,24,2,22,5,3,0,2,4,11.266666666666667,8.841846274778883,2.0,7.458566666666667,24,1,2,1,10,4,67,train
68,261,45,2,33,12,7,0,1,7,23.963636363636365,18.243605946275583,9.0,10.484127272727273,34,1,9,7,26,11,68,train
69,160,29,1,19,7,6,2,2,1,3.8666666666666667,6.42735559955562,1.0,9.016311494252873,20,3,3,1,22,5,69,train
70,530,93,3,70,23,13,6,4,11,13.031397849462365,12.340626583579944,4.2,8.973468602150538,69,5,21,13,51,22,70,train
71,192,35,1,23,9,8,2,0,5,11.571428571428573,11.20814326018867,3.5,7.6625000000000005,24,2,7,4,16,7,71,test
72,450,77,2,52,16,9,3,6,11,16.011688311688314,14.90622815163357,5.5,10.128053246753247,53,4,22,17,40,23,72,train
73,665,120,2,67,25,12,6,7,13,12.666666666666666,12.745084868956482,3.8333333333333335,8.312833333333334,66,6,23,17,63,26,73,train
74,90,17,0,16,3,1,0,1,2,11.505882352941178,11.20814326018867,3.0,7.266170588235294,16,1,3,2,6,3,74,train
75,188,34,2,28,8,5,1,1,4,11.505882352941178,11.20814326018867,3.5,9.123817647058823,31,2,7,4,23,9,75,train
76,514,93,4,39,17,13,2,5,18,14.321720430107527,13.348371206891418,3.2,8.124543870967742,37,5,16,16,42,21,76,test
77,151,27,0,24,6,4,2,2,3,11.325925925925928,11.20814326018867,2.5,8.399803703703704,25,2,5,4,15,6,77,train
78,219,49,1,34,4,5,0,7,2,9.8,3.1291,1.0,7.107414285714286,34,2,2,0,16,4,78,train
79,385,70,0,48,12,6,6,2,7,12.142857142857144,11.698219412168324,2.75,7.888071428571428,47,4,11,9,33,12,79,train
80,132,28,0,22,5,2,0,0,1,6.590476190476192,7.793537801064561,0.6666666666666666,8.046933333333333,21,3,2,2,14,2,80,train
81,502,87,3,56,21,10,5,4,11,15.136781609195403,13.81666964889586,5.0,9.615644827586207,55,4,20,14,52,23,81,train
82,409,77,5,48,18,9,1,4,10,13.383549783549785,11.855464076750408,4.0,7.780475757575758,47,3,12,7,39,13,82,train
83,321,66,2,41,13,7,1,4,13,11.830303030303032,11.20814326018867,2.3333333333333335,7.359366666666667,42,3,7,6,26,7,83,train
84,206,36,1,28,8,5,0,4,5,22.177777777777777,19.287186520377343,10.0,10.246822222222223,30,1,10,8,16,10,84,train
85,195,36,0,32,8,4,0,2,5,9.244444444444445,9.725611199111238,2.3333333333333335,9.056422222222224,33,3,7,4,17,8,85,train
86,107,21,1,17,3,3,0,0,2,12.20952380952381,11.20814326018867,2.0,6.933814285714286,17,1,2,2,8,3,86,train
87,454,79,0,47,19,17,5,2,11,11.444303797468354,11.20814326018867,3.75,9.612935443037975,46,4,15,8,47,19,87,train
88,86,16,1,15,4,4,1,0,1,8.9,11.20814326018867,3.0,8.377600000000001,16,1,3,2,8,2,88,test
89,207,35,1,31,6,3,2,4,5,9.238095238095239,11.855464076750408,2.3333333333333335,6.922023809523809,31,3,7,7,19,5,89,test
90,55,12,0,12,0,0,3,0,1,4.800000000000001,3.1291,0.0,5.547533333333334,13,1,0,0,3,0,90,train
91,419,74,1,50,16,13,1,1,10,10.771506849315069,10.793553405168563,3.6,9.55189287671233,50,5,18,9,49,19,91,train
92,40,9,0,9,2,0,0,1,1,8.044444444444444,8.841846274778883,1.0,9.346233333333334,10,1,1,1,6,1,92,test
93,99,20,2,18,3,1,1,2,2,4.0,3.1291,1.0,7.2905,18,2,2,0,9,0,93,train
94,249,43,1,38,7,6,4,1,5,12.32093023255814,11.20814326018867,5.0,8.374993023255815,42,2,8,4,25,8,94,test
95,189,36,2,30,8,3,1,1,5,11.644444444444446,11.20814326018867,2.5,8.03818888888889,34,2,5,4,19,6,95,train
96,144,26,0,22,3,1,2,0,3,15.015384615384617,13.023866798666859,6.0,7.355330769230769,24,1,6,3,13,4,96,train
97,152,27,0,22,6,6,0,1,5,9.525925925925927,9.725611199111238,2.0,8.176603703703703,22,3,6,4,13,6,97,train
98,264,45,2,38,12,5,2,2,7,10.444444444444445,10.504223727775692,4.0,9.994722222222222,39,3,12,5,22,12,98,test
99,57,11,0,10,2,2,0,0,1,4.4,3.1291,1.0,9.923918181818184,10,1,1,0,7,2,99,train
100,227,38,2,28,8,5,1,2,4,21.51578947368421,18.243605946275583,8.0,10.507615789473684,29,1,8,7,18,11,100,train
101,119,20,2,19,5,2,0,0,2,14.0,14.554592549557764,5.0,10.155000000000001,18,1,5,4,14,4,101,test
102,270,51,1,31,8,6,2,3,6,12.290196078431373,11.855464076750408,2.3333333333333335,8.19499411764706,31,3,7,7,24,11,102,train
103,212,36,2,31,10,4,0,2,6,9.244444444444445,9.725611199111238,3.0,10.372255555555554,32,3,9,4,27,10,103,train
104,192,39,2,33,6,3,2,0,6,10.876923076923077,10.125756701596842,2.5,7.032930769230769,33,2,5,3,18,4,104,train
105,128,22,2,16,8,5,0,2,3,8.8,11.20814326018867,4.0,10.469518181818183,16,1,4,2,16,4,105,train
106,94,16,0,13,3,0,0,1,3,8.200000000000001,8.841846274778883,1.0,6.00705,14,2,2,2,7,2,106,train
107,301,58,2,34,8,6,4,4,8,9.937931034482759,10.125756701596842,2.25,7.078113793103448,34,4,9,6,28,10,107,train
108,332,63,0,49,11,8,3,3,9,10.109523809523811,10.125756701596842,3.0,7.425319047619048,46,4,12,6,22,11,108,train
109,524,103,4,56,16,10,3,9,14,9.973462783171522,9.725611199111238,2.3333333333333335,7.094083171521036,54,6,14,8,51,14,109,train
110,198,36,1,29,9,7,2,2,7,19.955555555555556,15.903189008614273,7.0,10.246822222222223,31,1,7,5,21,8,110,test
111,189,36,2,26,8,6,0,0,4,16.622222222222224,13.023866798666859,6.0,8.492377777777778,28,1,6,3,17,5,111,test
