,index,split,Id,c4 (N),c4 (Y),c5 (N),c5 (Y),c11 (N),c11 (Y),c6 (N),c6 (Y),c9 (N),c9 (Y),c2 (N),c2 (Y),c7 (N),c7 (Y),c8 (N),c8 (Y),c10 (N),c10 (Y),c3 (N),c3 (Y),c0 (N),c0 (Y),c1 (N),c1 (Y)
0,0,train,15670,0.7612650394439697,0.1529413908720016,0.8432258367538452,0.1260374039411544,0.9405820965766908,0.0427825450897216,0.9396010637283324,0.0651154592633247,0.2742611169815063,0.546593427658081,0.5089977383613586,0.3637305200099945,0.934845805168152,0.0548875480890274,0.9511638879776,0.0426645502448082,0.9449777603149414,0.0443288311362266,0.9444620609283448,0.0530694164335727,0.9301865100860596,0.0610107854008674,0.5686189532279968,0.313147485256195
1,1,train,14290,0.2770476341247558,0.5190212726593018,0.7557626962661743,0.1855419129133224,0.886059582233429,0.0833591446280479,0.8862330317497253,0.1276242882013321,0.2765760123729706,0.5472699403762817,0.4738686680793762,0.3960593342781067,0.877959668636322,0.1091961711645126,0.9069811701774596,0.0811221450567245,0.8935628533363342,0.0847969800233841,0.8886526226997375,0.0992727503180503,0.8313710689544678,0.1411394476890564,0.4838812053203583,0.3782538473606109
2,2,test,14447,0.2907614409923553,0.502522349357605,0.7230157256126404,0.2013261616230011,0.8808335661888123,0.0882049649953842,0.8719350695610046,0.1354739069938659,0.2777185440063476,0.5516722798347473,0.4746620655059814,0.3989919126033783,0.8473349213600159,0.1296876519918441,0.8944298624992371,0.089891068637371,0.872248113155365,0.096921294927597,0.8873922824859619,0.1050196141004562,0.7835407257080078,0.1624610722064972,0.4825437366962433,0.387445330619812
3,3,train,15406,0.285152405500412,0.5069133639335632,0.789763867855072,0.1686174273490905,0.9112286567687988,0.0691694244742393,0.9080920815467834,0.110999621450901,0.2770799696445465,0.5482309460639954,0.4859247207641601,0.3883000612258911,0.8961435556411743,0.1006244495511055,0.9272329807281494,0.0675262883305549,0.9094123840332032,0.0766818299889564,0.9163987636566162,0.0825497508049011,0.8666224479675293,0.1194234415888786,0.4992437958717346,0.3791881501674652
4,4,train,15737,0.2780008316040039,0.5205869674682617,0.7175571918487549,0.2096149772405624,0.8611859083175659,0.1016109660267829,0.8557856678962708,0.1559385657310485,0.2804333865642547,0.5467202067375183,0.4638512134552002,0.4028362035751343,0.852989137172699,0.1282349526882171,0.8875517249107361,0.0975438579916954,0.863667905330658,0.1026441603899002,0.866162121295929,0.1189830377697944,0.7777523994445801,0.1736657619476318,0.4609711766242981,0.3934611678123474
5,5,train,14501,0.286499410867691,0.5213490724563599,0.7098976373672485,0.218657374382019,0.8475239276885986,0.1106011271476745,0.7800531983375549,0.209524318575859,0.3197918236255646,0.5380426049232483,0.4882886707782745,0.4037367105484009,0.8292233943939209,0.1444395929574966,0.8740294575691223,0.1031895950436592,0.8431004881858826,0.1110794469714164,0.8531972169876099,0.1273076683282852,0.7663950324058533,0.1800229549407959,0.4604536294937134,0.3987658023834228
6,6,train,15633,0.733029305934906,0.1553844660520553,0.8498097658157349,0.1220607161521911,0.9431008100509644,0.041939478367567,0.9410675168037416,0.0622985921800136,0.2723957896232605,0.5454627871513367,0.5102384686470032,0.3600757420063019,0.9380700588226318,0.0522230006754398,0.9530590772628784,0.0418640002608299,0.94681054353714,0.0430713295936584,0.9463936686515808,0.0520952977240085,0.9338110089302064,0.0577068328857421,0.5735473036766052,0.3090541660785675
7,7,train,14662,0.709625244140625,0.1983060240745544,0.8195527791976929,0.1494101285934448,0.9310392737388612,0.0553367920219898,0.9277139902114868,0.0855949893593788,0.2739730179309845,0.5503892302513123,0.4966087639331817,0.3763297200202942,0.9213523268699646,0.0740164965391159,0.943605661392212,0.0540193282067775,0.9361087083816528,0.0588749721646308,0.9344796538352966,0.0677045807242393,0.9079798460006714,0.0865381509065628,0.5343384742736816,0.3431719839572906
8,8,train,14348,0.6562920212745667,0.2625742256641388,0.7246426343917847,0.2273165434598922,0.8528162240982056,0.114993005990982,0.8465884327888489,0.1726454347372055,0.2938582301139831,0.5441898107528687,0.4900558292865753,0.4038055837154388,0.834589958190918,0.1511287540197372,0.8768872022628784,0.10909965634346,0.8594192862510681,0.1156696751713752,0.856558084487915,0.1361887007951736,0.777833104133606,0.1826040744781494,0.4749671816825866,0.3911058008670807
9,9,test,15487,0.7708485126495361,0.1422590017318725,0.8530429601669312,0.1201929450035095,0.9440780878067015,0.0411178022623062,0.9425005316734314,0.0603245198726654,0.2714468538761139,0.5453178286552429,0.5125027298927307,0.3578209578990936,0.9395925402641296,0.0505789294838905,0.9539257884025574,0.0409050919115543,0.9484221339225768,0.041987769305706,0.9472563862800598,0.0507654286921024,0.9359664916992188,0.0558207780122756,0.5767656564712524,0.3063865602016449
