index,essay_id,essay_set,essay,domain1_score,domain2_score,split
1702,3711,2,"I agree and disagree with the prompt. I think that it is good everyone is allowed to take any book off the shelf, listen to any music, watch all types of movies, or read any type of magazine. Then I think it isn't okay.     First, reason for agreeing is because some books, music, movies, magazines, and etc. @MONTH1 not be suitable for most young children. They @MONTH1 use profanity, show naked pictures, or take about things that a child is not yet supposed to be exposed to at that age. Most music and movies these days use bad language or show people having sex or without proper clothing. Also, adults @MONTH1 use these materials in a way that could cause many problems with the library. So these are my reasons for agreeing that certain materialsm such as books, music, movies, and magazines should be removed from the shelves if found offensive.     Then, on the other hand I think that libraries should leave most of the books, movies, music, or magazines on the shelves for everyone to take off. I say this because if a child does not be experienced to what could happened if they use bad language or go out without proper clothing, or go on watching adult movies. So this gives them an opportunity to see what is wrong with it if they are exposed to these things at a certain age. I think it would be better if they had a section for the books other than just taking them off the shelves permenantly.      In conclusion, I think that this could go both ways. But, the books, movies, music, or magazines that are felt like they are offensive should be move to a certain area in the library",3,3.0,train
375,4251,2,"Devin @NUM1 @NUM2                                   @CAPS1 @CAPS2    Do you like the libary? There is always an argument about how books, music, movies, magazines, ete., should be removed from the shelves if people find them offensive. Which brings me to @CAPS1 @CAPS2; there is always the choice of a different libary to choose from. You also don't have to look at the book or watch the movie. Being an @CAPS3 author you have the freedom of speech, you can write whatever you feel like writing.      First, is your choice of libary. There is sevral different libraries in one town. Some have childern sections, where all the books are appropriate for young childern to read. Also the parents of the childern need to keep an eye on what their child will be reading, or looking at. There has to be at least twenty to thirty libaries in @LOCATION1, so you always have a different option.     Second, you don't have to read the book, or watch the movie. If you see something you don't like about the book, why complain about it? Just put the book down, someone else might be interested in the book. You have the freedom to pick out the book.       Last, is the freedom of speech of the author of the book. Being an @CAPS3 citizen you have the right to write down whatever you want to write down. So people do not have the right to blame the author for what he or she writes down. Many people have been inspired by certain books that throughout history have been controversial.  Where would we be without those books and authors?     I have given you three reasons on @CAPS1 view of censorship in libraries. You have the choice of libraries, you don't have to read the book, and the author has the freedom to write what they choose",4,3.0,train
662,4593,2,"Yes I believe certain material should be removed from the shleves at a library if they are offensive! because people dont want or like to go to any public library that is open to anyone, let them come in and @CAPS1 some book or etc offensive to that person.       Like a child grabbed some bad unapropriate book and his mommy found him reading it so she wasnt to happy and left. t @CAPS1 that could be offensive to anyone particular. Their are certain books, magaizines, etc that dont need to be in the library. Becasue the public doesnt need to @CAPS1 stuff like that in a public library.           By the way someone that could think that certain book in offensive could report that certain book or etc if it is offensive to someone that is irregular at that certain public library. So watch what you bring or put in a public library it has to apropriate to where all the publics that walk in to any nice library.     Being offensive, is not a good thing because you want to be able to walk in a nice public library and be relaxed not startled by any none reasonable book or magazines or etc that should be there.      Music is a big problem with people being offensive about it because theres so many unaproperiate, bad language music around here that they have to watch what they put in the library ecspecially for the little kids, seniors too.      Books are material that should be fun or interesting to read for people, not for people to look at or find on he shelves a offensive book or magazine because thats not what the library is for, its for going there relaxing and finding a book or etc to have and be good with, or checked out to use somewhere else",3,3.0,train
178,3306,2,"If we were to take away every thing that someone in the world finds offensive, there would be nothing left. Many people in different cultures find many different things offensive. it's not right to take away from others something becuase a select group of people take offense at it. Something being offensive isn't always a bad thing. There's many different reason why, but removing something because of someone else's opinion isn't right.     First, whether you find something offensive or not, is laregly based on your culture. To most @CAPS1 cultures, declining food is offensive. To @CAPS2, eating or hurting cows in anyway is a complete disgrace. If something is offensive to one person, it @MONTH1 be because they have a different background. You're never going to please everyone.      Second, one of the best thing's about the @LOCATION1 is that you can have your own beliefs. If something was removed from the shelf at a library, because someone found it offensive, I would be disturbed. I have my own beliefs that I'm sure not everyone agrees with. Some of my beliefs wuold be offensive to certain people. That doesn't mean I should have to stay silent about my beliefs, does it? No, of course not. I wouldn't want anyone else's beliefs forced on me. I'm sure no one wants my beliefs forced on them. By removing things from a shlef becuase took offense at it, you'd be removing freedom of speech from the shelf also. That's not only wrong, it's illegal.     Some people would be offended at a book with a cross on it. Some people would be offended by a @CAPS3 cover with a pentgram. That doesn't mean they should be taken away. It's good to get offended sometimes. It often makes people stand up for what they believe. To me, it's reminder of why I believe what I do. I @MONTH1 be angered by what I see. I'm sure the terrorist group @ORGANIZATION1 is greatly offended when they see the @CAPS4 flag. We wouldn't stop waving it, would we? That'd be absurd! Just because someone takes offense at something doesn't make it wrong. It never has. It just means they have different beliefs. We should have the maturity to look away instead of demanding that it be removed.      I personally believe that removing things from the public eye, merely because they're offensive, would be wrong for many reasons. So many people find so many thigs offensive. It'd take away everythign if we removed eac and every one. Removing offensive items would also be an intrusion of freedom of speech. Plus, many things that are offensive often remind of of who we are. We should be string enough to look away and not fight about it. I don't think they should be removed. I want my library to be what @CAPS5 was made to be, a mixture of cultures and backgrounds. I don't think anything should be removed unless it directly causes harm to people",5,4.0,train
83,4649,2,"Censorship in libraries today, I believe, are not a big problem. But many would disagree with that. Books and movies can be a very important resource for anyone of any age. They can gives us facts about a certain topic that we @MONTH1 not find any where else. Everyone has thier own definition of offensive. I belive that it is not only up to the library to rate the books, movies, and magazines offensive but it is also up to the participants using these resources.      For many kids, no matter what age, they only rent books from a library for two main reasons: pleasure and projects. To sensor a book from a teenager or child is just like more of an invitation to see whats inside of it. For the people who do pleasure reading they most of the time stick to only one type of genre. If someone wanted to rent a book, and it was not appropriate for them to read, then the librarian or teacher would restrict that book from them. For projects, such as for school, it would depend upon the librarian to censor the book to a child. But books are not rated such as movies are. So it really all depends upon the use of the book and the maturity of the person who is renting it. If they feel that it will not be appropriate for some, then they could give a suggestion to censor it.      Movies and books are different in many ways. Books allow you to create a mental description and picture in your mind for what you are reading. Movies, on the other hand, create a visual image right in front of your eyes. No matter how gruesome or vile of a description a book can give, it still does not compare with the visual picture of a video. Movies are rated today as to the age of a person, and they say why they are rated as such. Movies rated above the @NUM1 level are most of the time not held in libraries. They @MONTH1 still be censored if they create too vile of an image, but that is up to the one who watches it.     Music is a major part of each one of our lives, and without it the world would be a much different place. Everyone finds themselves quite fond of a certain genre of music, and most of the time sticks to it. Music, like movies, is also rated by the content of the song. If it has a word or two that should be sensored, then it is most likely already labeled 'explicit'. I think that music, just like movies, should not be able to be censored, because they are already rated accordingly.     Some books, magazines, and movies contain cold hard facts about the past years of our world and are too vile for anyone. And even though those events are in our past they are still very important to our present. Books can be a magical place for children, as well as adults, to go and create their own world. To censor a book, movie, or magazine would be taking away that chance for someone to enjoy life just a little bit more for that small moment in time.",4,4.0,train
857,3243,2,"Have you ever walked into the library hoping to find a good book, and picked up a very volgar and inapropriate article? Were you dissapointed to see what children could easily get a hold of, or did you just place it back onto the shelf just simple thinking it wasn't your style of book? In this essay I would like to discuss both views on these censored books, and why I believe they should be censored.      People all over the world are vastly different. From color, race, size, shape, and personality there is not a single person on the planet who is excatly like the other, so why would they all have the same interest in reading or music? Some @MONTH1 enjoy a romantic novel that makes your heart skip beats while @CAPS1 my prefer the thrill of a horror story. Either way everyone has their own opinion of what makes a great book. The same thing accures in the question, whether or not censored items should be allowed into a public library.      Many @MONTH1 say yes, people have their right to choose what they @MONTH1 or @MONTH1 not observe or listen to, 'If you don't like the style in which the item is protrayed then don't pick it up.' @CAPS1 @MONTH1 say no, 'The library is suppose to be a safe haven where they don't have to worry about children seeing and hearing things they shouldn't.' In my personal opinion I believe the parent figure is right, although I also can understand the opposing opinion.      As to the opposing opinion, I can understand why you @MONTH1 think that censored items are ok in libraries. If it is a personal choice of how the author writes the book and still makes a great story, I believe that the book is alright as long as it is not in reach of a child. Many people have different ideas on what censored means and there could be the consequence of loosing many books but there are always consequence to every choice, good or bad.      In my personal experince, I have taken my ten year old sister to the library to barrow a movie and a few books. She is very scholary and comprehinds things quickly. Futhermore when she found a book that she thought @MONTH1 be interesting. The book turned out to be full of curse words and profanity. Think about it, what would you say to your child who just learned a few curse words from a place you expected to be a safe enviroment? To me it is rediculous to have to search every single book, cd, movie or magazine for profanity to make sure it is safe for my sister to read! Kids these days have changed majorly in their attitudes, language, and responses to things and I believe a big part of why is because of what they take in through the worldly materials. If the books and the music they read and listen to are offensive and rude then what else would they know other than to follow the lines of something more 'cool' than them. Therefore I believe that there should not be censored books in a library, and parents should have the right to ask for them to be removed.      When I sit back and realize what I would want my kids to be reading and listening to I wonder why people would even chance the fact that their child could be negativly influenced by it. Why tempt them to be someone that reflects profanity and offensiveness when they could be so much more? Parents should do everything they can to make their kids the best person they can be and I believe that they have a right to protect their children from not reaching their full potential. Therefore in the end books should be censored!",4,4.0,train
1329,4241,2,"Censorship in libraries? Is it a problem? Should we fix this 'problem' or is it for the good? People of different culture, background, and life could be profound by these articles in readings. Can these books be offensive? They could be offensive to some but to others only educational. Statements have been made all over the world of people speaking on what they believe is right or wrong. How many people believe that censorship in libraries is really offensive and should be removed from libraries?     Who really are the victims when books and magazines are being thrown off the shelves? The author of that specific article that's who. If it is said that every reading that comes off offensive should be taken off the shelves, then what would be left on them. Some people @MONTH1 take romances being offensive or comedy or horror. Romance could be hurtful to someone only because they maybe just got out of an relationship, or comedy because they are miserable and don't know how to laugh anymore or know what happiness is. Who knows? Opinions such as these would be only terrible for business but also terrible for the educational and history part of life itself.           People of different races and cultures @MONTH1 have another opinion on the situation of censorship. From all over the world there are cultures spreading throughout. Born into a religion could be a huge affect on what their outcome is on a book, magazine, or a movie. Movies of past experiences or massacres that happened to a cultrue @MONTH1 be difficult for some people of that culture to take in. The normal response to a movie such as that would be to become angry or frustrated. Only for others it is an oppertunity to learn what those people went through and grieve for the loss of the people during that time. To support the people who made it through those heart breaking times and become a friend to them and learn more about them, their culture, and way of life.      Have you seen protests arouse before you? Anywhere in the world? On television, hear it on the radio, or see it in the newspaper. Everyone has most likely seen this type of protest or attack on the opinion of another person. There have been protest in the past of the freedoms of a person or even race. If everyone begins to complain and argue of what is being put on shelves in libraries. What will come of our world? What will we know about the past? What will we begin to predict for the future? Anyone, and even I can make observations of the acts going on around us. In my experience, I have seen of attacks being struck upon people who only put a picture in the newspaper, or a small article spoke out on television. Who are we to say that everything needs to be removed off the shelves in libraries? These are just people who have been hurt and don't want to relive that experience.      Overall, my opinion on if censorship in libraries should be extinguished. I believe the answer is no, every person in the world is going to be upset, hurt, or broken about something at least a million times in their life time from now on. Whether it be in books, music, movies, magazines, or anything else. They just need to understand that without any one person's culture that there would be no history of life before us",4,4.0,train
272,4720,2,"I believe that profanity has a good side and a bad side. The good side is profanity is it give books, music, and movies taste and texteure it shows how a person feels most times it's anger. Profanity also can change a person behavior, by the way people talk and act. I personally think that profanity is a good and bad i like it in music and movies but i hate it when people talk trash. I think they should take it off the shelves depending on the person age for example age three and thirteen books should not contain profanity but ages fourteen and up can.           The reason why people should take it off the shelves is beacuse kids should have a healthy and profanity free life. They should have a a good development turds learning. Books and other intertaiment should have no profanity because kids at a young age learn easly and if they take in the bad actions of others they will be bad themselfs. The reason why people should be aware of this problem is if you don't like profanity dont buy it. Also keep out of kids reach. The main reason why people swears is because of movies and songs it changes a person dramaticly. Talking with profanity in your mouth can change your life but not having a good job getting in jail raising up bad kids that learn from the parents mistakes.      In a @CAPS1 profanity is good for movies it gives it action and drama. profanity is words that are most times negative expressing anger and rudeness. We have a @CAPS2 full of profanity this is like a wide spred deases. Passing on from people to kids to their kids. I have expeariance this the hard way beacuse im chinese and i came to the united states back in @DATE1, i did not know any english. People would cuss at me all the time the could all be avoided if we didnt have any profanity in our daily usage of books, music, and movies. I have learned alot about people by the way they talk letting me know who to stay away from. We should keep profanity but limit it from kids. Profanity is like ice cream people wants it and other dont. People could make there choice of putting themselfs in a profanity free life. people can do what they think is the right thing to do. Taking it off the shelves for kids is what i think is the right thing to do but not adults.     Due to profanity people tend to put themselfs in truble. For example some people in the use gets pulled over by a officer for a low cost speeding ticket but then they would swear at the officer putting them selfs in more truble this could all be avoided if he didnt have ever said anything. Profanity could also make a good motivational speech i know this beacuse im on the @LOCATION1 football team. Before every game our coach would motivate us by giving us a speech to get us pumped up with profanity in it. So in the end what im saying is porfanity should say but keep it out of reach of kids for books parents dont buy them if you dont want your kids to see them. Movies read the lable on the back of the @CAPS3 and see the agae limit and for profanity. Lock up the @ORGANIZATION1 shows that have profanity in it so your kids have no acess to them. If you dont want any part of profanity you can make yourself to stayway from it. We all know the there is nothing you can do about others useing profanity just dont use it yourself and stay clean do what you think is right",4,4.0,train
148,3903,2,"Do you think @CAPS1 is going to prevent people from getting offended? Taking items such as a books, music, movies, magazines, ect., will not stop people from getting offended. The @CAPS2 question's are who decides what is offensive, and how is it offensive? What makes something offensive",2,2.0,train
1690,4220,2,"Libraries are ment for all types of books, movies, music, magazines. It gives you a variety of things to look at or even check out. An offensive book or movie or even music shouldnt be taken off the shelf just because it has a few bad things in it. People @MONTH1 or @MONTH1 not agree with this, but everyone is entitled to their own opinion. Through my own experiences, observations, and the reading I will help and explain my own opinion in why i dont think offensive books, movies,music, and magazines should not be taken off the shelf.     If a book is offensive it does not deserve to be taken off the shelf. Somebody most likley worked hard on that book so it could be put on to the shelf. If you find a book offensive it should be put off into a different section that tells you in head of time what books are in that section. I have not had any real experiences with this but I know people are awear of what are in the books before they're put onto the shelf and would therefore not put anything offensive next to a childrens book. Same thing with music and @CAPS1's. Music is music and it is there to be listened too. People like all types of music and have their favorite bands so if they dont like certain bands because they swear or whatever doesn't mean that album deserves to be taken off the shelf. @CAPS1's usually have the rating on the front so if it is not appropriate for your age than dont pick it up. If it has nudity or sexual content it will tell you or be put in a different section. For instance at my old library where I used to live in @LOCATION1, @LOCATION2 they would put all rated @CAPS2 movies into a different section and if you were going to check it out you would have to be @NUM1 or older or have a parent with you. It is really all up to the person, they could either make the right choice or the wrong choice. It's not the libraries fault if you pick up an offensive book because well, you should have some common sense.          The libraries shouldnt have to take offensive things off the shelfs because some people lack common sense or just dont know what they are doing. They could make more of an effort too kind of seperate bad from good, wrong from right, and even appropriate to non appropriate. But it is usually all up to the person making that decesion.                                                             - @PERSON1",4,3.0,train
