,index,split,essay_id,c2 (N),c2 (Y),c7 (N),c7 (Y),c9 (N),c9 (Y),c6 (N),c6 (Y),c1 (N),c1 (Y),c11 (N),c11 (Y),c5 (N),c5 (Y),c4 (N),c4 (Y),c8 (N),c8 (Y),c10 (N),c10 (Y),c3 (N),c3 (Y),c0 (N),c0 (Y)
0,0,test,3950,0.930627465248108,0.070293553173542,0.6465330123901367,0.2256704121828079,0.979244828224182,0.0233849231153726,0.9729443192481996,0.0259410385042428,0.9730041027069092,0.0363632030785083,0.9708641767501832,0.0293930303305387,0.9759904742240906,0.0234876573085784,0.9713971614837646,0.0367586836218833,0.977157175540924,0.0239367168396711,0.8567214608192444,0.1382845938205719,0.05180224776268,0.8805148005485535,0.0791281312704086,0.7942989468574524
1,1,train,4309,0.9204944968223572,0.0531527623534202,0.851446270942688,0.0784171521663665,0.9714778065681458,0.0257711466401815,0.9651226997375488,0.0271501131355762,0.9760149121284484,0.0345133617520332,0.9701030254364014,0.0236565191298723,0.974712073802948,0.0234041903167963,0.9735668301582336,0.0364597029983997,0.9739104509353638,0.023498011752963,0.9132972955703736,0.0583766959607601,0.0588437318801879,0.8332675099372864,0.0633649677038192,0.8090302348136902
2,2,train,3572,0.9722447991371156,0.0251559242606163,0.9660130143165588,0.0278863459825515,0.9826144576072692,0.0216582417488098,0.980220913887024,0.0200579352676868,0.9782297611236572,0.0260069109499454,0.9780958890914916,0.020671771839261,0.9802780747413636,0.0202147345989942,0.977824866771698,0.025632681325078,0.9802649021148682,0.0229416973888874,0.9734587073326112,0.0297990050166845,0.0561299100518226,0.8722766041755676,0.0774091035127639,0.7493982911109924
3,3,train,4585,0.5213372707366943,0.4122668802738189,0.1717895120382309,0.6538330912590027,0.9336878061294556,0.0671098232269287,0.9401298761367798,0.0641362592577934,0.9785441756248474,0.0342139564454555,0.92368346452713,0.0760818496346473,0.951375424861908,0.051090445369482,0.9784457683563232,0.031643982976675,0.9487778544425964,0.0560864843428134,0.2037888616323471,0.6342871189117432,0.1602640897035598,0.7033186554908752,0.1576392203569412,0.668252170085907
4,4,train,3235,0.6379171013832092,0.3071835935115814,0.1826627701520919,0.6398332715034485,0.9497663378715516,0.0532872043550014,0.9404199719429016,0.0640984326601028,0.9809707999229432,0.0309686735272407,0.9434570670127868,0.0629902407526969,0.9588633179664612,0.0458028391003608,0.9814435243606568,0.0301419962197542,0.9568127393722534,0.0504194013774395,0.2240274846553802,0.6224443912506104,0.1608515530824661,0.7092331051826477,0.1675599664449691,0.663845419883728
5,5,train,3360,0.8229957222938538,0.1417845040559768,0.2879639565944671,0.5130933523178101,0.9697856307029724,0.0298442114144563,0.9472223520278932,0.0440042540431022,0.9760351181030272,0.0392112806439399,0.9610924124717712,0.0369802787899971,0.9767591953277588,0.0259094107896089,0.9737882018089294,0.0396604798734188,0.9733009338378906,0.0270446799695491,0.6408470869064331,0.2678309679031372,0.0518592409789562,0.8777709603309631,0.0733590349555015,0.8053458333015442
6,6,train,3660,0.9070906043052672,0.0799388512969017,0.2979556918144226,0.4952940344810486,0.9764493703842164,0.0236178487539291,0.9721925258636476,0.0263300463557243,0.981191337108612,0.0274668950587511,0.9765291213989258,0.0235750414431095,0.9797481894493104,0.0217346306890249,0.9815878868103028,0.0273259058594703,0.9790193438529968,0.0219594407826662,0.4940845966339111,0.3479954898357391,0.1127524375915527,0.8023516535758972,0.115393079817295,0.7208977341651917
7,7,train,3162,0.4815617799758911,0.4399211406707763,0.1772208213806152,0.6552560925483704,0.9119051098823548,0.0806088075041771,0.9145537614822388,0.0860170423984527,0.977173924446106,0.0391151048243045,0.8825933933258057,0.1187645196914672,0.9458900690078736,0.0621245540678501,0.9771655797958374,0.0351603813469409,0.942223072052002,0.0678316578269004,0.2264549732208252,0.6161684393882751,0.1793068498373031,0.6828254461288452,0.1637981086969375,0.6769811511039734
8,8,test,3907,0.8239439725875854,0.1619036048650741,0.2905667424201965,0.5118048191070557,0.9709780812263488,0.02730418369174,0.9496316313743592,0.0360742062330246,0.9724908471107484,0.0322576686739921,0.9635598063468932,0.0302699524909257,0.9677479863166808,0.029395867139101,0.9707798957824708,0.0360904224216938,0.9683125615119934,0.0256212875247001,0.471300721168518,0.3860291540622711,0.0765899494290351,0.8348390460014343,0.0935683473944664,0.7500131726264954
9,9,train,3020,0.7563568353652954,0.2075896114110946,0.1879943162202835,0.6259806752204895,0.9503931403160096,0.0513798594474792,0.954752802848816,0.0487954691052436,0.9820982813835144,0.0294298790395259,0.9459052085876464,0.0514487437903881,0.9618897438049316,0.040909755975008,0.9809462428092957,0.0285468827933073,0.9610646963119508,0.0438549146056175,0.2979195713996887,0.5495546460151672,0.1665218621492386,0.6924008131027222,0.1671798527240753,0.646754801273346
