index,essay_id,essay_set,essay,score,split
1702,15567,6,"Obstacles builders faced in constructing the Empire State Building to allow the attempt of a dirigible to dock were blind. The tuge and pull of the unforecast wind made the dock dangers for passangers and the buildings foundation. However, making such attemps were eleagl for dirigibles to fly over urban areas, incase of failer. Spires as well made the drop impossible for them to approach also in case of puncher. Spending sixty thousand on modification to moor mast on the @ORGANIZATION2 for the safe dock of dirigibles. The idea was lost to the creation of the mordern new airplane.",3,train
375,16107,6,"In attempting to allow dirigibles to dock on the Empire State Building, the builders faced many obsticles. In order for the dirigibles to anchor there, a mooring mast must be added. The architects then had to find a way to add ""a thousand-foot dirigible moored at the top of the building"" without adding stress to the buildings frame. ""The greatest obstacle to the successful use of the mooring mast was the nature itself"". Architects knew that they could not control the weather, and this worried them. Another obsticle the builders faced was the ""law against airships flying too low over urban areas"". If dirigibles were able to reach the building something could go wrong. Builders ""feared that the wind would blow the dirigible onto the sharp spires of other buildings in the area"". The obsticles the builders faced soon became pointless when ""the idea of using the mooring mast for dirigibles and their passengers had quietly disappeared"".",4,train
662,16449,6,"The people who built the Empire State Building had many problems building it. The one obstacle to their expanded use in New York was the of a suitable landing area. The Empire State Building was going to have a mooring mast at it's top for docking these new airships, which would accommodate passengers on already existing transatlantic routes and new routes that were yet to come.",2,train
178,15162,6,"In the excerpt ""the Mooring Mast"", the author @ORGANIZATION2 explains some of the obstacles that the builders had to face in their attemp of allowing dirigibles dock on the mast of the Empire State Building.First of all, the dirigibles were big and heavy and needed space to land. @ORGANIZATION2 stated that ""some were... the same length as four blocks in New York City."" If the builders wanted to @CAPS1 dirigibles on top of the building, they would need a lot of space to build a big landing platform for a safe landing.Secondly, the decided that they could not land dirigibles on a flat roof and decided to tie it with a cable tether. The authors says ""the architects could not simply drop the mooring mast on top of the... flat roof."" They realized that the weight of the dirigible would deform the buildings structure and that the strong winds could cause damages down to the foundation of the building.In conclusion, the workers faced many obstacles in order for them to @CAPS1 dirigibles on top of the State holding.",2,train
83,16505,6,"The obstacles the builders of the Empire State Building faced in attempting to allow dirigibles to dock there included issues in safety, nature problems, and a dilemma with a law. Safety was a major concern as many dirigibles used hydrogen, which was highly flammable. An example of such a dirigible was the German Hindenburg, which went up in flames in Lakehurst, New Jersey. As the article ""The Mooring Mast,"" by Marcia Amidon Lüsted, states, ""the owners of the Empire State Building realized how much worse the accident could have been if it taken place above a densely populated areas such as downtown New York City."" @CAPS1, nature was a big obstacle the owners faced, as the winds on top of the building constantly shifted. According to Lüsted, this would have caused the back of the dirigibles to ""swivel around the mooring mast,"" which would not have been ""practical nor safe."" @CAPS2, there were legal issues the builders faced. There was a law at the time restricting airships from flying too low over populated areas. As the article notes, ""This law would make it illegal for shipped ever tie up to the building or even approach the area."" The builders of the Empire State Building faced issues with safety, nature, and the law.",4,train
857,15099,6,"Builders of the Empire State Building faced many obstacles in attempting to allow dirigibles. The first problem was the material of the dirigibles. Dirigibles ""were actually enormous steel frame balloons with envelopes of cotton fabric filled with hydrogen and helium make them lighter than air."" The first problem is that it's material could be broken if happened to fly into a sharp area of the building, and the ""violent air currents"" did not help. Since the dirigibles could not be weighted down at the Empire State Building, it would be dangerous to have them ""dangling high above pedestrians on the street."" Another obstacle was the fact that the dirigibles were filled with hydrogen. Although dirigibles from the United States were filled with hydrogen and helium, ""most dirigibles from outside the united states used hydrogen rather than helium, and hydrogen is highly flammable."" With these obstacles builders of the Empire State building faced in attempting to allow dirigibles dock there, the theory did not work out in reality.",3,train
1329,16097,6,"Based on the excerpt ""The Mooring Mast"" by Marcia Amidon @CAPS1 the builders of the Empire State Building faced many obstacles in attempting to allow dirigibles to dock there. These obstacles include the weather, safety, previous dirigible tragety, and the law.The wind at the top of the Empire State building was a huge safty hazard because even if the dirigible was secured the back would swing a cause a potential hazzard due to the unpredictable winds. To fly a dirigible they are filled with hydrogen instead of helium, this is also dangerous because hydrogen is very flammable. On May, 6, 1937 the hindenburg was destroyed by fire in Lakehurst, @LOCATION3, so the owners took into consideration this could have been much worse if the accident had taken place above a densely populated area such as New York. Dirigibles are very unsafe so this created many obsticles for the builders of the Empire State Building to allow dirigible to dock there.",3,train
272,16576,6,"In the passage, The Mooring Mast by @ORGANIZATION2, the obstacles the builders of the Empire State Building faced in attempting to allow dirigibles to dock there are out lined. These obstacles were safety, nature, and law, Safety was an obstacle because the passengers on the dirigibles would be put in danger. This is evident in the line, ""...dirigibles from outside of the @LOCATION1 used hydrogen rather than helium, and hydrogen is highly flammable."" The dirigibles could have blown up, as many have in the past. Nature was an obstacle because the dirigibles could have a hard time attaching to the mast if the weather is un desirable. This is supported in the quotation, ""...winds on top of the building were constantly shifting due to violent air currents."" The wind could cause the dirigibles to move around uncontrollably, which wouldn't be very safe for anyone. There was a law against airships in urban areas that was an obstacle. This law is explained in the quotation, ""this law would make it illegal for a ship to ever tie up to the building or even approach the area."" This law made it unnecessary to have the mooring mast, as it could not be legally used. The obstacles outlined in the passage The Mooring Mast by @ORGANIZATION2, allowed the architects to avoid wasting funds on something that wouldn't be profitable.",4,train
148,15759,6,"The builders of the Empire State Building faced many obstacles. The dirigibles weren't safe in a city like New York because of violent wind currents at the top of the building that would make the dirigibles ""swivel around and around the mooring mast."" Also many blimps from outside the United States were filled with hydrogen, which is highly flammable. If there was an accident like the Hindenburg in New York, more than just the passengers would be harmed. Another obstacle was that there was a law forbidding airships to fly too low over urban areas. This law made it illegal for ships to even go near the Empire State Building.",3,train
1690,16076,6,"In the excerpt the obstacles the @CAPS1 of the Empire State Building face in attempting to allow dirigibles to dock there was the ""lack of a suitable landing area"". (p. @NUM1) @CAPS1 were trying to attempt a suitable landing area to allow dirigibles to anchor there for several hours for refueling or service, and let passengers off and on. @CAPS1 try to attempt an electric winch. This ""would swing in the breeze and yet passengers could safely get on and off the dirigible by walking gangplank to an open observation platform."" The biggest obstacle, @CAPS1 of the Empire State building was to ""nature itself"" which meant that dirigibles moored in open landing fields, where they would be high above pedestrians on the street where it was neither practical nor safe. @CAPS1 of the Empire State attempted these causes to allow dirigibles to enter on the property of the Empire State Building!",3,train
451,16152,6,"The builders of the Empire State Building had a few obstacles to face when attempting to allow dirigibles to dock there, as written by Marcia Amidon Lüsted in the,The Mooring Mast. Al Smith, the architect of the Empire State Building, didn't want his masterpiece to be only for show, so he gave it purpose; a dock for dirigibles. By adding a comma ""thousand-foot dirigible moored at the top of the building, held by a single cable tether,"" the buildings frame would be under much stress; ultimately making the structure unsafe. To alter the frame and wind pressure, over @MONEY1 would need to be accumulated. If an accident were to take place, like in Lakehurst, New Jersey, the densely populated city would be in grave danger. Although these obstacles can be overcome, the obstacle of mother nature herself, cannot.",3,train
1626,14971,6,"In building the dirigible docks on the Empire State Building builders faced an onslaught of problems that should have been easy to pick up on. Everyone got caught up in the hype in my opinion. Outside of the U.S., other dirigibles used hydrogen, which is highly flammable, instead of helium. After the Hindenburg disaster, ""... the owners of the Empire State Building realized how much worse that accident could have been if it had taken place above a densely populated area such as downtown New York."" Winds also played an obstacle in the construction. ""... the back of the ship would swivel around and around the mooring mast."" The dirigibles would not be able to tie to the dock and stay because of violent air currents. There was a law holding airships from flying too low in urban areas. ""The law would make it illegal for air ship to ever tie up to the building or even approach the area...,"". Finally, times changed and planes became the new fad for air transport, ending dirigibles run as the main provider.",3,train
943,15664,6,"The builders of the Empire State Building faced several obstacles in their attempts to allow dirigibles to dock there. The first problem they faced was the issue of safety. Most dirigibles were fueled by hydrogen, which was highly flammable. This danger was shown by the Hindenburg disaster in New Jersey, and the owners of the building did not want to face a similar accident in a place as densely populated as New York. Another obstacle that arose was the fact that the violent wind at such an altitude would toss the back of the ship back and forth. This would not only be a technical hassle as it would also make it nearly impossible to get passengers in and out of the dirigible, and make it a frightening experience for anyone inside the ship as well. In addition, the ships could not be weighed down with lead weights as it would be too risky to have them dangling high above pedestrians. A final implication was that if dirigibles moored at the Empire State building, it would violate an existing law against airships flying too low over urban areas. Because of this, docking a ship there would be illegal which obviously way not helpful to the project. In the end, these obstacles were the key reasons that the endeavor failed. ",4,train
181,15468,6,"The builders of the Empire State Building faced obstacles attempting to allow dirigibles to dock there. One of the main obstacles was, the lack of a good landing area. Dirigibles were pretty big and there wasn't a great spot for it. ""Some were as long as one thousand feet, the same length as flour blocks in New York City""- paragraph 6. therefore caused problems to the builders to figure out where to put it.",2,train
1321,15901,6,"There were many obstacles the builders faced in attempting to allow dirigibles to dock on the empire State building. One obstacle they faced is the safety of the passengers when the dirigibles would dock and the frame work of the building wouldn't collapse. I know this because in between paragraph @NUM1 and @NUM2 the excerpt says, ""'One set of egineers are here in New York is trying to dope out a practical, workable arrangement and the government people in Washington are figuring on some safe way of mooring airships to this mast.'"" The mast weighs alot so they're afraid it will put too much pressure on the empire state building. The egineers were also afraid of the dirigibles blowing up because the dirigibles use hydrogen. Hydrogen is way more flammable than helium. I know this because in between paragraph @NUM3 and @NUM4 it says, ""Most dirigibles from outside of the United States used hydrogen rather than helium, and hydrogen is highly flammable. These were a few of many obstacles the workers faced",3,train
1102,14900,6,"There were many obstacles that the builders of the Empire State Building faced. One of the greatest being safety. As stated in paragraph @NUM1, most dirigibles from outside of the U.S used hydrogen rather than helium. Hydrogen is highly flamable. Also another issue was purposed in paragraph @NUM2, this was nature itself. The winds at the top of the building were constantly shifting due to violent air currents. Even if the dirigible were tethered down, the back of of the ship would swivel around the morning mass. Yet another obstacle as to the reason why dirigibles couldn't dock at the Empire State Building was in paragraph @NUM3, this was an existing law against airships flying too low over urban areas. These obstacles made it nearly impossible for the Empire State Building to serve it's original purpose.",3,train
1209,15502,6,"The architects who built the mooring mast on the top of the Empire State Building had many problems with actually docking any dirigibles there. When they @CAPS1 building the idea of being able to dock blimps on the top of a building was revolutionary and ideal. But they had many issues with safety, weather and laws. One issue with safety was that the gas inside the dirigibles, hydrogen, is highly flammable. One accident could harm hundreds of people in New York's streets. The wind on top of the building was also very strong. Making it difficult for any blimp to get in close enough. the last difficulty  that the builders had was laws. There were certain laws not allowing air ships to fly too low over high populated urban areas. While their mooring mast seemed like a good idea to start out with, sadly it never got much use.",3,train
936,15156,6,"In the excerpt, there where many obstacles the builders of the empire state building faced in attempting to allow dirigibles to dock there. The problems where that the dirigible being ""held by a single cable tether, would add stress to the building's frame"", and the wind pressure wouldn't help either, as stated in @CAPS1 @NUM1. Another issue was that, as said in @CAPS1 @NUM2, ""most dirigibles from outside of the united states used hydrogen rather than helium"",... ""hydrogen is highly flammable"", Also in the @CAPS1 @NUM2, ""The owners of the empire state building realized how much worse,"" a accident could be ""if it had taken place above a densely populated area such as down town New York. These are the problems the builders faced.",3,train
1797,15276,6,"There were many obstacles that the builders of the Empire State Building faced. One of the obstacles faced was when trying to dock on top of the building. Since it was so tall, there were very harsh winds that the dirigibles could be controlled. When the Los Angeles tried to dock there, it couldn't, because ""[it] could not get close enough to tie up because of forceful winds."" Also, ""the @CAPS1. could not even take his hands off the control levers."" because the dirigible might bump into other buildings if he did. Another obstacle they faced was that New York was densely populated and the mooring mast was surrounded by other buildings. If it caught on fire like the Hindenburg it could be a huge problem. ""... how much worse that accident could have been if it had taken place above a densely populated area."" The third huge obstacle they faced was that there was an actual law against anything flying that low in cities. There was, ""an existing law against airships flying too low over urban areas."" This meant that the dirigibles couldn't even get close enough to tie up since they were allowed to fly down to it. Since there were so many apparent obstacles and flaws in the plan, the builders should've caught it before and never built the mooring mast above the Empire State Building",3,train
1207,16476,6,"The Mooring Mast by @ORGANIZATION2 is about the Empire State Building and the expectations that people had for it. In @DATE1 it was announced that the Empire State Building would reach the height of 1,250 feet. The point of the selection is to show that there was another idea that the Empire State building builders were trying to make a reality. The builders came across some obstacles while trying to allow dirigibles to dock there, such as the building not being stable enough to support the dirigibles, having to add frame work, and the possible dangers of making this idea a reality. ""The stress of the dirigible's load and the wind pressure would add too much stress to the buildings frame."". Because of this added stress ""the steel frame of the Empire State building would have to be modified and strengthened."" Then when a dirigible was destroyed, the owners of the Empire State building realized how much worse it could of been it happened in a place such as downtown @CAPS1"". It is a good thing they did not do the idea.",2,train
