,index,split,essay_id,c7 (N),c7 (Y),c4 (N),c4 (Y),c9 (N),c9 (Y),c0 (N),c0 (Y),c10 (N),c10 (Y),c5 (N),c5 (Y),c2 (N),c2 (Y),c1 (N),c1 (Y),c6 (N),c6 (Y),c3 (N),c3 (Y),c8 (N),c8 (Y),c11 (N),c11 (Y)
0,0,test,15806,0.1018366664648056,0.8352987766265869,0.3065116703510284,0.5615788698196411,0.2016964554786682,0.6791022419929504,0.0954085066914558,0.8771889805793762,0.138562873005867,0.8011366128921509,0.0879333242774009,0.9282793402671814,0.0740425139665603,0.9314114451408386,0.0566044710576534,0.9407307505607604,0.3065594732761383,0.5475243926048279,0.0618418753147125,0.8871820569038391,0.4933910369873047,0.3970015943050384,0.1056011989712715,0.838304340839386
1,1,train,16165,0.3197386562824249,0.5257214903831482,0.5533766746520996,0.3313440382480621,0.4544091820716858,0.3997970223426819,0.2798141837120056,0.6244922280311584,0.3735796213150024,0.5078821182250977,0.1931259632110595,0.8325476050376892,0.1488382220268249,0.8777825832366943,0.1347451508045196,0.8647074103355408,0.2688862681388855,0.6313207745552063,0.2164286822080612,0.7052420377731323,0.3916914463043213,0.5254576802253723,0.3361508548259735,0.5337380766868591
2,2,train,15428,0.0911830291152,0.8385258913040161,0.3235963881015777,0.5283105969429016,0.1836272776126861,0.6983069777488708,0.1018168926239013,0.8813812136650085,0.1538166403770446,0.7875989675521851,0.0783363953232765,0.93112450838089,0.0757523253560066,0.9412108063697816,0.0615719072520732,0.93879371881485,0.4187362492084503,0.4293093979358673,0.0560960285365581,0.9099939465522766,0.678793728351593,0.2323548346757888,0.1106176227331161,0.832358717918396
3,3,train,16441,0.6029903292655945,0.2614952027797699,0.6958336234092712,0.2275585979223251,0.7161785364151001,0.2126235216856002,0.6984026432037354,0.2222719639539718,0.5721195340156555,0.2840265035629272,0.1433450728654861,0.8249384760856628,0.1074002832174301,0.8780282139778137,0.1600236296653747,0.6905167102813721,0.1590244174003601,0.7732980847358704,0.2096487879753112,0.6160827875137329,0.1902273446321487,0.8030669689178467,0.6228389739990234,0.2645339071750641
4,4,train,15091,0.110826551914215,0.8442509174346924,0.33326056599617,0.5298609733581543,0.2147269994020462,0.6846088767051697,0.1131068095564842,0.8779508471488953,0.169473260641098,0.7871914505958557,0.1106678992509841,0.9195411801338196,0.0753601044416427,0.9377288222312928,0.0761737376451492,0.9354923963546752,0.3863348066806793,0.4693214297294616,0.0709057673811912,0.8896090984344482,0.7004374265670776,0.2515017986297607,0.1333975791931152,0.8212586045265198
5,5,train,15216,0.1553148031234741,0.7182084321975708,0.3765654265880584,0.4558119475841522,0.3005469739437103,0.5017488598823547,0.1523662954568863,0.7527014017105103,0.1966824680566787,0.699542224407196,0.0926956161856651,0.926152229309082,0.0714410990476608,0.9337652325630188,0.0613287538290023,0.92721289396286,0.1988222897052765,0.6896466612815857,0.0516016706824302,0.8846182227134705,0.1109124347567558,0.8590258359909058,0.1887105852365493,0.7072571516036987
6,6,train,15516,0.2160696536302566,0.7702087163925171,0.5005964040756226,0.4512600302696228,0.3753461539745331,0.587023913860321,0.2026492208242416,0.8082441687583923,0.3295638561248779,0.667785108089447,0.1342097073793411,0.8991914987564087,0.0852591320872306,0.944055676460266,0.1004950404167175,0.9102591872215272,0.4807776212692261,0.4449731111526489,0.1277563869953155,0.8560094833374023,0.7432764172554016,0.2446235716342926,0.242845207452774,0.7374144792556763
7,7,train,15018,0.4935119748115539,0.3649066984653473,0.6597585082054138,0.2604829967021942,0.6295377612113953,0.2613100409507751,0.5849114656448364,0.3130961656570434,0.4980030357837677,0.3904603719711303,0.215564414858818,0.8506911993026733,0.1644752025604248,0.8644341230392456,0.172267273068428,0.7777217626571655,0.1872889548540115,0.7173782587051392,0.2552844285964966,0.6423616409301758,0.3254786431789398,0.7179996371269226,0.5339495539665222,0.3578616082668304
8,8,test,15763,0.1043474152684211,0.8649930357933044,0.2902043461799621,0.5999960899353027,0.1880821585655212,0.7435863614082336,0.1078781336545944,0.8884621262550354,0.1599692404270172,0.7979158163070679,0.0952596589922905,0.9314854741096495,0.079026848077774,0.9398221373558044,0.077123261988163,0.9391788244247437,0.470039039850235,0.405735969543457,0.0777939110994339,0.9041099548339844,0.6915253400802612,0.2395840138196945,0.1209577098488807,0.8495049476623535
9,9,train,14876,0.0984536185860633,0.8753276467323303,0.2934175133705139,0.5725436806678772,0.1586583256721496,0.7650514841079712,0.1070696786046028,0.9009063839912416,0.1497499793767929,0.796893835067749,0.0956497490406036,0.9307411313056946,0.0857618898153305,0.9412317872047424,0.0729007571935653,0.93401300907135,0.5086833834648132,0.4092161655426025,0.0829875022172927,0.9104115962982178,0.6529381275177002,0.2960142791271209,0.1101111024618148,0.8542013168334961
10,10,test,14968,0.2068496346473693,0.7075710296630859,0.5946277976036072,0.3202843070030212,0.485425055027008,0.4203466773033142,0.2002802789211273,0.7920239567756653,0.3644673824310303,0.5514833927154541,0.1086625605821609,0.9087982773780824,0.076509490609169,0.9322954416275024,0.0815018191933631,0.9082735180854796,0.4270305931568146,0.4310171902179718,0.0965074598789215,0.8604627847671509,0.7699735164642334,0.2034985572099685,0.2531038224697113,0.6699714064598083
11,11,train,16430,0.128886342048645,0.8428745865821838,0.4242362678050995,0.4949043393135071,0.2719206213951111,0.6468860507011414,0.1230352595448494,0.8910021781921387,0.2076301723718643,0.7727655172348022,0.1077103987336158,0.927426815032959,0.0799474194645881,0.9443833827972412,0.0849658921360969,0.9322011470794678,0.3995540738105774,0.426050454378128,0.0834074690937995,0.8956601619720459,0.6863155364990234,0.2391758859157562,0.1445447653532028,0.823469340801239
12,12,train,15112,0.668632984161377,0.2502225935459137,0.7695097923278809,0.2086255699396133,0.7674538493156433,0.1873964518308639,0.7552898526191711,0.1962227076292038,0.6533808708190918,0.2806713283061981,0.2523488998413086,0.8220862746238708,0.1589198559522628,0.8660728931427002,0.2458861917257309,0.7082181572914124,0.1932011395692825,0.7210918664932251,0.3107301592826843,0.5814744234085083,0.3703942596912384,0.7201704978942871,0.7086384892463684,0.2445352673530578
13,13,train,16068,0.0838671624660492,0.8498502373695374,0.2914402186870575,0.5036352872848511,0.1709049642086029,0.6992736458778381,0.0855009779334068,0.8792905807495117,0.1421590149402618,0.7725686430931091,0.0936423242092132,0.9234002232551576,0.084741972386837,0.9453458786010742,0.0613885447382926,0.9171569347381592,0.4758020043373108,0.4108682870864868,0.0684244632720947,0.8841560482978821,0.6743632555007935,0.2504620850086212,0.0864702090620994,0.8383914828300476
14,14,train,15257,0.2041231393814087,0.7478788495063782,0.47072833776474,0.4735331237316131,0.3783022463321686,0.5612459182739258,0.2018622308969497,0.8052809238433838,0.3030461370944977,0.6780551671981812,0.122898168861866,0.8995717167854309,0.0862138867378234,0.9358298778533936,0.0737685337662696,0.9204213619232178,0.3992989361286163,0.4787772297859192,0.0868261083960533,0.873130202293396,0.7012091875076294,0.2619790136814117,0.2473628968000412,0.7179673314094543
