,essay_id,pred
0,21452,45
1,20902,45
3,21015,45
4,21180,45
5,21004,35
6,21553,20
7,21156,45
8,20935,45
9,21571,30
10,20929,20
11,21146,50
12,21589,35
13,21441,45
15,21518,35
16,20836,45
17,21070,45
18,21181,35
20,20784,45
21,21342,50
23,21112,35
24,20757,35
25,21262,30
27,20748,35
28,20876,45
29,21161,35
30,21049,45
31,21470,35
32,21286,45
33,20769,45
35,21312,35
36,21457,45
37,21144,35
38,21569,45
39,21479,35
40,21633,45
41,21157,35
42,21026,45
44,21501,35
46,21322,35
48,21382,45
49,21001,45
50,21478,45
51,20827,45
52,21038,35
53,20905,35
54,21083,50
55,21198,35
57,21022,45
59,20962,35
60,21456,35
62,21299,45
63,21617,45
64,21334,30
66,21249,50
67,20724,30
68,21444,20
69,20819,30
71,21010,35
72,20945,30
73,20735,20
74,21509,35
75,21293,30
76,20892,35
77,20783,45
80,20775,30
81,21540,45
82,20737,35
85,20981,30
86,21000,45
88,21566,45
89,21560,55
90,21568,35
91,21119,35
92,20944,30
93,21546,30
94,20815,25
95,21107,45
96,21014,35
97,21279,45
98,20722,45
100,21526,45
101,21051,45
102,20747,45
103,21347,45
104,20946,45
105,21179,30
106,20976,45
107,21468,30
109,20897,30
110,20953,35
111,21025,45
113,20925,30
114,21340,45
115,21063,45
116,21105,45
119,20771,35
120,20800,35
121,21601,35
123,21118,45
124,21463,30
125,20979,35
126,21609,45
127,21545,45
128,20850,45
129,20739,35
130,20746,45
131,20967,30
132,21389,20
133,21006,50
134,21510,45
135,20943,35
138,21388,45
139,21229,45
140,21217,35
141,21477,10
142,21182,45
143,20751,50
144,21574,45
145,20957,50
146,20797,45
147,21561,45
149,21413,45
150,21537,45
151,21271,30
152,21309,45
153,20883,35
154,21446,25
155,20896,30
156,20911,35
157,21586,35
159,21450,35
160,21360,35
161,21495,45
162,21454,30
163,20871,30
164,20814,35
165,20936,45
167,21429,50
169,21153,45
170,21207,50
171,21200,45
172,21086,35
173,21502,30
176,21500,45
177,21241,45
178,21034,30
180,20933,35
181,20955,45
183,21072,45
184,21581,45
185,21575,30
186,21559,45
187,21122,50
188,21230,45
189,20727,30
190,20847,35
192,21057,45
193,21167,45
194,21525,35
195,21308,45
196,21532,50
197,21333,35
198,21434,20
201,21158,30
202,21453,45
203,21221,30
204,21280,45
205,21235,20
207,21621,45
208,21369,35
209,21577,45
210,20920,30
212,21387,45
213,21318,30
215,20809,35
216,20859,45
217,21292,45
218,20958,45
219,21488,35
220,21375,50
221,21345,45
223,21102,25
225,21188,30
226,21071,35
227,20852,45
228,20817,30
229,21547,45
230,21618,45
232,20881,45
233,20772,30
234,21269,45
236,21190,45
237,21090,45
238,21567,45
239,20922,45
240,21039,35
241,21251,35
242,21205,30
244,20825,30
245,20807,35
246,20841,35
248,21204,45
249,21081,45
250,21539,50
251,21485,45
252,21377,35
254,21045,35
257,21451,45
258,21332,45
259,21397,50
260,21209,30
262,21503,45
263,21460,30
264,21110,50
265,21056,50
266,20996,45
267,20938,45
268,21610,45
270,21323,45
271,21385,50
272,21542,45
273,20860,45
274,21508,50
276,21176,35
278,21210,35
279,21013,25
280,21399,30
281,20773,45
282,20803,35
284,21298,35
286,21115,35
287,20884,50
288,21274,45
289,21174,50
290,21476,35
291,20931,45
292,21599,50
293,21392,45
294,21028,35
295,20895,45
296,20823,50
298,21519,45
299,20829,50
301,21343,45
302,20770,50
303,21135,50
305,21140,25
307,20877,45
308,20968,45
309,21164,45
310,20828,30
311,21409,50
312,21554,35
313,21418,50
314,20866,45
315,20889,45
316,21494,45
317,21259,50
319,20872,45
320,21060,45
321,21380,35
322,21183,35
323,21003,45
324,21275,35
325,21579,25
326,21355,25
329,20718,45
332,21253,35
333,21350,35
337,20926,50
338,21541,35
339,21620,45
340,21194,35
342,21177,30
343,20904,30
344,21578,30
346,20822,50
347,20908,30
348,20777,45
349,21220,35
351,21074,45
352,21348,35
353,21154,45
355,21431,45
356,21126,35
357,21044,45
358,21053,45
359,21613,45
360,20778,35
362,21244,30
364,21206,20
365,21103,45
366,21555,30
367,21390,30
368,21024,30
369,21073,45
370,21134,45
371,21265,35
372,20728,45
373,20863,45
374,20846,35
375,20745,30
376,21358,50
377,20915,35
378,20906,30
379,21594,45
380,20909,45
381,21285,45
382,21384,30
383,21273,45
384,20741,35
386,20869,35
