,Id,pred
0,21401,1
1,20284,1
3,21678,1
4,21033,1
6,21629,1
8,20342,1
10,21184,1
11,20657,1
12,21063,2
14,20210,2
15,20073,1
16,21112,1
17,20260,1
18,20611,1
19,20035,1
20,21065,1
21,20779,1
22,20660,1
23,20360,1
25,21159,1
26,20132,1
27,20929,0
28,20649,2
29,21595,2
30,21185,1
31,20482,1
32,19995,2
33,21375,1
35,20001,2
36,20102,2
39,21403,1
41,21426,1
42,20403,1
43,21557,1
45,20171,1
46,21175,1
47,20378,1
48,21494,2
49,20322,2
50,21333,2
51,21565,1
53,20544,1
54,21053,1
55,20696,1
56,20958,1
57,21423,2
58,20618,1
59,20204,1
60,20309,1
63,20738,1
64,21484,1
67,21188,1
70,21346,1
71,21715,1
72,21354,2
73,20959,1
74,21085,0
76,21691,2
77,21193,1
78,20453,2
80,21138,1
81,21356,1
83,21337,2
84,21260,1
85,20016,1
87,20772,1
88,20287,1
90,21248,1
91,21503,1
92,20751,2
93,20327,1
94,21723,1
95,20009,1
96,19971,1
97,21236,1
98,20563,1
99,21656,0
100,20901,1
101,21041,1
104,20720,1
106,21697,2
107,21622,1
108,21436,1
109,21158,1
110,20333,1
111,20036,1
112,20859,2
113,21227,2
114,20840,1
116,21661,1
117,20457,1
118,21575,1
119,20677,1
120,20839,1
122,21471,1
123,20920,1
124,21510,1
125,20352,1
126,21291,1
127,21000,1
128,20275,1
129,20443,1
130,21330,1
131,20377,2
132,21399,1
133,21071,1
134,20444,0
135,20197,1
136,20304,2
137,21032,1
138,21144,1
140,21288,1
142,21607,2
143,21169,1
144,21522,1
145,20546,1
146,20577,1
148,21374,1
149,20281,1
150,21727,1
152,20795,1
153,20571,1
154,21585,1
155,20108,1
156,20905,1
157,20483,2
158,20821,1
159,21739,1
161,20511,1
162,21128,2
163,20680,2
164,20490,1
166,21186,1
168,20252,2
169,20439,1
170,20623,1
171,21116,0
173,21060,1
174,20557,1
175,21069,1
176,20279,1
177,20985,1
179,20217,1
181,20769,1
182,21300,1
183,20854,2
184,21093,2
185,20524,1
187,20501,1
188,21639,1
190,20107,1
192,20590,2
193,20721,1
195,21508,1
196,20801,1
197,20239,1
198,21345,1
199,20763,1
200,20000,1
201,21501,1
203,20049,1
205,21078,1
207,21476,1
208,21630,1
209,20954,1
210,20328,1
212,20803,1
213,21211,1
214,21303,1
215,20896,1
216,20019,1
217,20712,1
218,21068,1
219,20045,1
220,21289,1
221,21687,1
222,20785,1
223,20066,1
224,20341,1
225,20638,2
226,21205,1
227,20848,1
228,20157,1
230,20023,1
231,19989,1
232,20253,1
234,21746,1
235,20316,2
236,21740,1
237,20365,1
239,20982,1
240,21077,1
242,21521,1
243,21646,2
244,20746,1
245,20963,1
246,20367,1
247,19992,1
250,20288,1
251,20442,1
253,21372,1
255,21058,1
256,20842,2
258,21120,1
260,21020,1
261,20697,2
262,21284,1
263,21726,1
265,20266,1
267,20778,1
268,21173,1
269,20525,1
270,20456,1
272,19972,1
273,21430,1
275,20314,1
276,20313,1
278,21664,1
279,20486,1
280,21296,1
281,20335,1
282,21642,1
283,20076,1
284,21524,2
285,20249,1
286,20059,1
287,20195,1
288,21298,1
290,20820,1
291,21580,1
292,21692,1
293,20994,2
294,20325,1
296,20755,1
297,20014,1
298,20631,1
299,20399,1
300,20581,1
301,21720,1
305,21660,1
306,20376,1
307,20413,1
310,20906,2
311,20692,1
312,21463,1
313,19955,1
314,20569,1
316,20218,1
317,20384,1
319,21394,1
320,21095,1
322,20902,1
323,20551,1
324,21519,1
325,20743,2
326,20366,1
327,20890,1
328,20512,1
329,20226,2
331,20221,1
332,21504,1
333,21224,1
334,21469,1
335,20122,1
336,21118,1
337,21420,1
338,21174,1
339,21102,1
340,21422,1
342,20715,1
343,21161,1
344,21206,1
345,20135,1
346,20488,2
347,21406,1
348,21732,1
349,20810,1
350,20491,1
352,20825,1
353,21442,1
354,20650,1
356,20225,1
358,20782,0
363,20307,1
364,20591,1
365,21153,1
366,21708,1
367,20448,1
368,21654,1
369,21750,1
370,20843,1
372,20966,1
373,20899,1
374,21314,1
376,20742,1
377,20889,1
378,20870,1
379,20837,1
380,20095,1
381,21380,1
382,20041,1
383,20573,1
384,20121,1
386,21044,1
387,21308,1
388,21666,2
389,20101,1
390,20724,1
392,20648,1
394,21005,1
395,21400,1
397,21132,1
398,19982,1
399,21283,1
400,20447,1
401,21254,1
402,20791,1
403,20192,1
404,21552,1
406,20392,2
407,21043,1
408,20124,2
409,20727,1
412,20243,2
413,21321,1
414,20853,1
415,20505,2
416,21738,1
418,21176,1
419,20088,1
420,21384,1
421,20818,1
422,20653,2
423,20025,1
424,20464,1
425,20469,1
426,20317,1
427,20289,1
429,21265,1
432,19988,1
434,21389,1
436,20962,1
437,21534,1
440,21117,1
441,21126,1
442,20847,1
443,20262,2
444,20149,2
445,21178,1
446,20247,1
448,21234,1
449,20369,1
450,19963,1
451,20605,2
452,21589,1
453,20479,1
455,21749,1
456,21135,2
457,20244,1
458,20133,1
459,20543,1
460,20052,1
461,20930,1
462,21556,1
464,20361,1
465,21702,1
468,21456,1
469,20861,1
470,21156,1
471,20764,1
472,21458,1
473,20407,2
475,20472,1
477,21277,2
478,20736,1
479,21323,2
480,21189,1
481,20894,2
484,21023,2
485,20294,1
486,21714,2
487,21707,1
488,20039,1
489,20028,1
491,20560,1
493,21141,2
494,19969,1
496,20374,1
497,21616,1
499,19994,1
500,20293,0
502,21297,1
503,20278,1
504,20777,1
505,20212,1
506,20955,1
507,20050,1
509,21125,1
510,21230,2
511,21258,1
512,21098,2
513,20504,1
514,20187,1
515,21512,1
517,20794,1
518,20980,1
519,20613,1
521,20919,1
522,20067,1
523,20080,1
524,20869,1
525,20110,1
526,21495,1
527,20128,1
528,20458,1
529,21061,1
530,20005,1
532,20208,1
533,21611,1
534,20484,1
535,21154,1
536,20435,1
537,21663,1
538,20996,1
539,21198,1
540,20446,1
541,20541,1
542,21140,1
543,20686,1
545,20285,1
548,21001,1
549,20855,1
551,21109,1
552,21097,1
553,21110,1
554,21730,1
555,20072,1
556,20787,1
557,21451,1
559,21577,1
561,21263,2
563,21698,1
566,20380,2
567,20395,1
568,20588,1
571,20343,1
572,21134,1
573,21369,1
574,20532,2
575,21583,1
578,20635,1
579,20485,1
580,20216,1
581,19997,1
582,20798,1
583,21273,1
584,20454,1
585,20146,1
586,21202,1
587,21514,1
588,19970,1
589,21388,2
590,20903,2
591,21462,1
592,20604,1
593,20429,1
594,21545,1
595,20257,1
596,21424,1
597,20368,1
598,21026,1
599,20765,1
600,20815,1
601,20621,2
602,20297,1
603,21407,1
604,20312,1
605,21038,1
606,21444,2
607,21439,1
608,21571,1
609,21689,1
610,19976,1
611,21295,1
612,21267,1
613,20566,2
614,20015,1
615,20237,2
616,21167,1
618,21241,1
619,21163,1
620,21130,2
621,21348,1
622,20131,1
623,20856,2
624,20123,1
625,21232,1
627,20619,1
628,20871,1
629,20993,1
630,20668,1
631,20489,1
632,20256,1
635,20094,1
636,21428,1
638,20789,1
639,21637,1
640,21488,1
641,21151,1
642,20280,1
643,21268,1
644,20538,1
645,20372,1
646,20762,1
647,20626,1
648,21031,0
649,21492,1
651,20487,1
653,21183,1
654,19981,1
655,21145,1
656,20766,1
657,20556,1
658,20058,1
659,20683,1
662,21686,2
664,20620,1
665,20669,1
666,19985,0
668,20002,1
670,21179,1
671,20315,2
672,20254,1
673,21566,1
674,21751,1
675,21094,1
676,21540,1
677,21434,1
678,21155,1
680,20021,1
681,21225,1
682,20529,1
683,21712,1
684,21305,1
685,20363,1
686,20507,1
688,20347,1
689,21152,1
690,20663,1
691,20213,1
693,20109,1
694,20670,2
695,20872,2
696,20180,0
697,21066,2
698,21425,1
699,21455,1
700,21613,1
701,20474,2
702,19984,2
703,20324,1
705,21418,1
706,21525,1
707,20542,1
708,20393,1
709,21433,1
710,20552,1
711,20081,1
713,20858,1
715,20093,1
717,20940,1
718,20452,1
719,21485,1
720,20506,1
721,21393,1
722,20514,1
723,20410,1
724,21310,1
726,21113,1
728,21281,1
729,20800,1
730,20888,1
731,20838,1
732,21074,1
733,20603,1
734,20527,1
735,19975,1
736,20673,1
737,20388,0
738,20643,1
739,20876,1
740,21212,1
741,21073,1
742,20714,1
744,20320,1
745,20186,1
747,20817,1
748,20526,1
749,20362,1
750,20873,1
752,20944,1
753,21339,1
754,20916,1
755,20024,2
758,20364,1
759,20675,1
762,21464,2
764,20540,1
765,20089,1
766,21370,1
767,21563,0
768,20203,1
769,20188,1
771,20533,1
772,21665,1
773,20558,1
775,21150,1
777,21270,1
779,21541,1
780,20273,1
781,21382,1
783,21511,0
784,20537,1
785,20029,1
786,20731,1
787,20020,2
789,20642,1
790,21371,1
791,21149,1
792,21122,1
793,21214,1
794,21334,1
795,20272,1
796,20606,1
797,21204,1
798,21213,2
799,21737,1
800,21586,1
802,21397,1
803,21002,1
804,20531,1
805,20602,1
807,20060,1
808,21279,1
809,20914,1
810,20983,1
811,21416,1
812,21072,0
813,19978,1
815,21631,1
816,21229,1
817,20826,1
818,20792,2
819,20761,1
820,20567,0
821,20070,1
823,20391,1
824,20027,1
825,21067,0
826,21601,1
827,21729,1
828,21477,1
829,20200,1
830,21450,1
831,20957,1
832,20018,0
833,20549,1
834,20883,1
835,21103,1
836,20141,1
837,21030,2
839,20559,2
840,20895,1
841,20175,2
842,20184,2
843,20398,1
844,20302,1
845,20468,1
848,20174,1
851,21711,1
852,20633,1
854,21262,1
855,20693,1
856,21197,1
857,21104,1
858,20690,1
859,20224,2
860,20214,1
862,21507,1
863,21599,1
864,21329,1
865,20404,1
866,20381,2
868,20709,1
870,20575,1
873,20828,1
874,21221,1
875,20063,2
876,20098,2
877,20061,1
879,21700,1
880,21539,1
881,20007,1
882,21614,1
883,21626,2
884,21569,1
885,20207,1
886,20071,2
887,21090,1
890,20417,1
892,21331,1
893,19991,1
895,19980,1
897,20554,1
898,20144,2
900,20865,1
901,20691,1
902,21080,1
903,20245,2
904,21376,1
905,21561,1
907,21597,1
909,20674,2
910,21527,1
911,20645,1
912,21054,1
913,21064,1
914,21517,1
915,20478,1
916,21016,1
917,20879,1
919,20878,1
921,20115,2
922,20426,2
923,21381,1
925,20008,1
926,20718,1
927,21555,0
928,21123,1
929,20740,1
931,21293,1
932,20299,1
933,21531,1
934,20277,1
935,20177,1
936,20165,1
937,20382,1
938,20130,1
939,20375,1
940,20783,1
941,20632,1
942,20520,1
943,20258,1
944,21675,1
945,21170,1
946,20584,1
947,21294,1
948,20201,1
949,20091,1
950,21313,1
951,21243,1
952,21272,1
954,20190,1
