,CH,W,CO,UW,NN,DT,RB,JJ,IN,GF,SMOG,RIX,DC,WT,S,LW,CW,NBW,DW,index,split
0,369,69,2,48,7,3,2,2,9,6.099710144927537,5.683917801722854,2.8,9.35547275362319,50,5,12,1,44,8,0,train
1,206,37,1,31,5,3,0,2,6,6.943243243243244,8.07648339933343,2.0,10.92340810810811,31,4,8,3,26,8,1,train
2,408,80,1,56,12,6,3,4,14,7.9,7.554174236665414,2.8,7.390725,56,5,13,3,39,11,2,test
3,219,42,0,37,11,6,1,0,6,10.304761904761905,8.841846274778883,4.0,8.061671428571428,37,2,8,2,21,5,3,train
4,231,38,1,33,6,1,2,1,8,8.010526315789475,9.516144504307135,2.25,10.340594736842105,36,4,9,5,27,8,4,train
5,237,42,2,38,6,2,4,3,7,7.504761904761906,8.841846274778883,3.3333333333333335,8.09042380952381,41,3,10,3,23,6,5,test
6,203,39,0,30,2,2,1,0,6,8.276923076923078,9.725611199111238,3.0,8.734889743589743,30,3,9,4,20,5,6,train
7,68,14,0,14,1,0,0,0,2,2.8000000000000003,3.1291,1.0,9.622985714285715,15,2,2,0,7,1,7,test
8,48,9,0,9,2,1,1,1,1,3.6,3.1291,1.0,7.591788888888889,10,1,1,0,6,1,8,train
9,500,98,6,70,8,6,6,10,14,9.47265306122449,8.238735603445708,1.8,7.8311089795918365,71,5,9,4,42,11,9,test
10,253,48,0,38,5,3,2,1,10,7.300000000000001,8.07648339933343,2.25,8.1792,37,4,9,3,21,8,10,train
11,359,65,2,52,9,6,6,2,11,7.046153846153846,7.554174236665414,2.2,9.625607692307693,50,5,11,3,43,12,11,train
12,937,162,9,110,20,13,14,5,19,7.304485852311939,8.344100000000001,2.1666666666666665,9.964616494133885,105,18,39,15,112,36,12,train
13,430,86,1,54,9,7,2,6,9,7.8102325581395355,6.742157984588678,2.0,8.161713023255814,57,5,10,2,36,12,13,test
14,1435,277,9,125,35,22,19,9,43,6.550830324909747,6.508806274219699,1.9,8.028694657039711,118,20,38,7,154,27,14,train
15,218,42,0,37,6,2,2,2,6,4.2,3.1291,2.25,8.292776190476191,37,4,9,0,22,6,15,train
16,451,91,0,60,7,5,8,2,14,6.506227106227107,5.46131890053228,2.3333333333333335,8.90019523809524,59,6,12,1,49,10,16,train
17,274,52,1,46,3,3,3,3,6,6.738461538461539,7.168621630094336,2.75,8.532453846153846,46,4,11,2,26,8,17,train
18,199,40,1,32,7,6,2,5,6,9.0,7.168621630094336,3.0,6.997,34,2,6,1,18,4,18,train
19,165,27,0,23,5,4,3,2,2,11.007407407407408,10.504223727775692,2.6666666666666665,11.100677777777777,22,3,8,5,16,8,19,train
20,222,46,0,29,7,2,6,1,3,9.200000000000001,3.1291,1.0,6.1503434782608695,31,2,2,0,22,1,20,train
21,184,34,0,31,4,0,6,5,4,8.062745098039215,8.841846274778883,1.6666666666666667,8.842750980392157,32,3,5,3,16,5,21,train
22,38,9,0,9,3,1,0,1,1,3.6,3.1291,0.0,0.44639999999999996,10,1,0,0,3,0,22,train
23,166,34,1,26,4,1,1,1,5,6.886274509803923,7.793537801064561,1.0,8.842750980392157,26,3,3,2,13,3,23,train
24,385,73,0,50,13,5,5,4,7,6.36320939334638,7.447530270364452,1.4285714285714286,8.263483170254403,50,7,9,4,40,7,24,test
25,166,33,0,29,2,2,2,1,5,6.824242424242425,7.793537801064561,1.6666666666666667,8.009978787878788,31,3,4,2,13,3,25,train
26,116,23,0,21,0,1,0,2,3,8.078260869565218,8.841846274778883,2.0,9.012552173913043,21,2,4,2,10,4,26,train
27,86,15,0,14,3,1,0,0,2,5.666666666666668,7.168621630094336,2.0,9.271833333333333,15,2,4,1,9,3,27,train
28,682,116,2,75,21,7,4,4,18,6.327851458885942,7.882392219407189,2.6153846153846154,11.429601856763925,74,13,33,9,84,28,28,train
29,664,121,3,82,18,10,4,5,19,6.823471074380166,7.908726449838941,2.1,8.282031900826446,82,10,21,7,70,16,29,train
30,301,62,2,41,4,4,4,1,11,6.250322580645161,6.742157984588678,1.2,7.307669032258065,38,5,7,2,32,7,30,train
31,398,82,1,58,11,7,1,2,11,17.37560975609756,10.125756701596842,4.0,9.521319512195122,61,2,8,3,38,7,31,train
32,292,51,2,43,8,4,2,5,7,5.648627450980392,6.742157984588678,2.2,8.476929803921568,46,5,11,2,33,8,32,train
33,117,21,0,21,5,2,2,1,2,10.304761904761905,8.841846274778883,5.0,8.43762380952381,23,1,5,1,14,3,33,train
34,227,47,0,37,11,7,0,1,8,11.10212765957447,8.841846274778883,3.0,7.489759574468085,36,2,6,2,19,6,34,test
35,352,64,1,47,7,4,2,2,10,4.891666666666667,5.46131890053228,1.6666666666666667,8.113066666666667,45,6,10,1,36,8,35,train
36,662,118,1,82,18,8,3,5,17,5.628248587570622,7.168621630094336,1.9166666666666667,8.406267231638418,82,12,23,6,74,20,36,train
37,147,27,0,21,3,2,3,2,1,2.7,3.1291,1.25,7.480188888888889,26,4,2,0,15,2,37,test
38,82,16,0,15,1,0,0,1,2,3.2,3.1291,1.0,7.9808,17,2,2,0,12,1,38,test
39,192,35,1,32,4,1,3,3,7,6.9523809523809526,8.841846274778883,3.3333333333333335,9.177738095238094,34,3,10,3,21,7,39,train
40,177,35,1,30,4,3,2,2,5,8.142857142857144,7.168621630094336,3.0,7.6625000000000005,31,2,6,1,14,6,40,test
41,146,32,0,24,2,3,1,3,5,12.8,3.1291,2.0,8.184325000000001,24,1,2,0,9,4,41,train
42,487,89,1,56,10,5,3,2,14,7.7310861423220985,7.793537801064561,3.3333333333333335,8.985042322097378,57,6,20,4,49,15,42,train
43,162,28,0,26,3,1,3,1,5,7.954285714285715,8.238735603445708,1.6,10.681402857142857,28,5,8,4,22,7,43,train
44,114,24,0,20,4,3,0,1,3,2.4000000000000004,3.1291,0.5,5.249933333333333,22,4,2,0,12,1,44,test
45,229,46,1,37,4,2,0,3,7,10.069565217391306,7.168621630094336,3.0,8.896430434782609,39,2,6,1,24,6,45,train
46,518,101,0,72,17,9,4,3,11,11.288118811881189,8.07648339933343,2.75,8.32830594059406,74,4,11,3,47,10,46,train
47,392,72,0,50,10,3,4,1,15,5.780952380952382,7.447530270364452,2.4285714285714284,9.410004761904762,50,7,17,4,38,13,47,train
48,390,68,1,50,16,5,0,1,16,6.886274509803923,7.793537801064561,3.0,10.235986274509806,52,6,17,4,45,11,48,train
49,572,93,7,67,21,11,4,8,13,8.004301075268819,9.994966539143718,3.4444444444444446,9.751936559139786,68,9,31,13,68,20,49,train
50,492,94,0,62,9,5,5,5,9,5.796960486322189,5.288315135182226,2.0,8.334046504559272,61,7,14,1,44,10,50,train
51,315,58,1,32,4,2,4,1,13,2.577777777777778,3.1291,1.4444444444444444,10.48993754789272,32,9,13,0,41,10,51,train
52,767,136,3,92,26,12,3,2,22,7.5925133689839575,8.575989854853784,2.5454545454545454,9.009956951871658,90,11,29,10,85,22,52,test
53,159,33,0,28,6,3,2,2,4,4.4,3.1291,1.6666666666666667,8.966948484848485,30,3,5,0,16,5,53,train
54,324,58,1,38,5,0,1,1,11,4.693596059113301,6.18269132825596,2.142857142857143,8.947816256157637,38,7,14,2,34,10,54,train
55,183,37,3,30,3,3,1,2,8,4.781081081081081,5.985473137389441,1.25,8.362867567567568,30,4,5,1,18,4,55,train
56,322,56,0,48,8,3,6,4,8,8.019047619047619,9.2995712137729,2.0,9.174790476190477,51,6,12,7,39,10,56,train
57,426,75,3,54,13,9,3,1,13,6.419047619047619,7.957251820313856,2.142857142857143,9.220728571428571,54,7,15,5,48,12,57,train
58,85,17,0,14,2,1,0,0,5,3.4000000000000004,3.1291,1.5,9.631041176470589,16,2,3,0,7,3,58,train
59,140,24,1,23,3,1,2,0,5,6.466666666666668,10.125756701596842,2.5,7.521283333333333,25,2,5,3,14,3,59,train
60,45,11,0,11,2,1,0,1,2,4.4,3.1291,0.0,0.5456,12,1,0,0,3,0,60,train
61,285,52,1,39,6,1,4,3,8,6.543589743589743,7.793537801064561,2.0,9.835789743589743,40,6,12,3,32,9,61,test
62,325,61,1,47,7,3,2,1,10,4.797189695550351,6.868970318607317,1.5714285714285714,9.245777751756439,46,7,11,3,33,8,62,test
63,99,18,0,17,1,1,1,1,1,11.644444444444446,11.20814326018867,4.0,8.915411111111112,18,1,4,2,9,2,63,train
64,103,21,0,18,0,0,0,0,3,8.4,3.1291,3.0,9.189528571428571,18,1,3,0,8,3,64,train
65,183,38,0,30,2,0,8,2,6,5.066666666666666,3.1291,0.3333333333333333,6.342398245614035,32,3,1,0,15,1,65,test
66,110,22,0,20,5,4,1,2,2,10.618181818181819,8.841846274778883,2.0,8.316336363636363,19,1,2,1,8,3,66,test
67,525,94,5,67,7,1,7,2,15,4.185531914893618,6.2581,2.1,8.638165531914893,66,10,21,3,64,11,67,train
68,161,30,0,26,7,2,1,2,5,12.0,8.841846274778883,3.0,6.7035,28,1,3,1,16,3,68,test
69,276,46,0,32,5,2,1,5,6,4.805797101449276,6.42735559955562,2.1666666666666665,9.165679710144929,35,6,11,2,33,8,69,test
70,435,76,8,60,9,2,6,1,10,5.905263157894737,7.168621630094336,1.875,8.678489473684209,61,8,14,4,53,10,70,train
71,402,74,2,57,7,4,1,5,13,10.643243243243244,10.686352973137792,3.75,8.39491081081081,54,4,15,7,37,13,71,train
72,340,58,0,46,9,3,6,1,7,8.088275862068967,9.888512548439397,3.4,9.112204827586208,47,5,17,7,40,13,72,train
73,588,112,6,70,17,10,4,4,19,6.314285714285715,6.6274283507984215,1.75,8.560364285714286,71,8,14,3,65,11,73,train
74,17,3,0,3,1,0,0,0,0,1.2000000000000002,3.1291,0.0,9.048633333333335,4,1,0,0,2,0,74,train
75,496,97,2,64,13,6,5,2,23,6.36759941089838,6.868970318607317,2.0,8.067834904270986,60,7,14,3,58,12,75,test
76,237,44,0,33,5,0,3,1,9,4.751515151515152,6.42735559955562,1.6666666666666667,9.024324242424242,33,6,10,2,24,7,76,train
77,305,56,2,47,6,1,4,1,11,5.854545454545455,6.742157984588678,2.8,10.21100909090909,44,5,14,2,35,11,77,train
78,383,73,2,48,8,5,3,5,9,4.197945205479452,5.985473137389441,1.375,9.064031506849314,48,8,11,2,39,9,78,train
79,205,38,0,28,4,1,1,0,3,6.1192982456140355,6.42735559955562,2.0,9.666608771929825,30,3,6,1,21,7,79,test
80,292,52,3,42,7,1,5,1,6,3.740659340659341,6.18269132825596,1.4285714285714286,8.559764835164835,47,7,10,2,41,8,80,train
81,145,26,0,23,3,2,1,1,5,8.276923076923078,8.841846274778883,3.0,10.354376923076924,23,2,6,2,12,6,81,train
82,146,29,1,25,3,1,1,2,4,11.600000000000001,8.841846274778883,4.0,7.2528310344827585,27,1,4,1,10,2,82,test
83,308,55,0,41,11,4,1,1,8,5.121212121212121,6.42735559955562,2.6666666666666665,8.971712121212121,42,6,15,2,34,10,83,train
84,378,70,0,52,11,5,1,2,11,9.285714285714286,8.841846274778883,4.0,9.015928571428573,52,4,15,4,41,12,84,train
85,227,45,1,36,5,4,4,3,7,4.488888888888889,5.683917801722854,1.0,8.995344444444445,37,5,5,1,25,5,85,train
86,442,82,4,65,9,5,4,0,17,6.149128919860627,6.868970318607317,2.0,8.838991986062718,64,7,13,3,52,12,86,test
87,250,47,0,38,8,3,0,2,7,7.1642553191489355,8.238735603445708,2.0,8.47018680851064,37,5,10,4,23,9,87,train
88,107,22,0,21,5,1,0,1,5,10.618181818181819,8.841846274778883,2.0,7.5986090909090915,22,1,2,1,8,2,88,train
89,550,94,0,67,19,9,2,3,16,6.827659574468085,8.07648339933343,3.25,9.090682978723404,66,8,25,6,58,18,89,test
90,170,33,0,29,3,2,1,2,3,3.3000000000000003,5.985473137389441,1.5,7.39509393939394,30,4,6,1,19,3,90,train
91,312,52,1,42,6,3,4,3,5,4.509890109890111,6.18269132825596,1.7142857142857142,10.078034065934066,45,7,11,2,42,9,91,train
92,869,155,5,100,18,8,11,8,23,8.382133995037222,9.057496981413337,2.076923076923077,7.691497518610422,93,13,25,14,95,22,92,train
93,92,20,0,19,3,3,0,1,3,4.0,3.1291,1.5,8.8695,18,2,3,0,7,4,93,train
94,291,51,2,44,10,4,4,2,6,12.55294117647059,10.125756701596842,5.0,10.783849019607844,46,2,10,3,32,12,94,train
95,340,69,0,49,8,2,1,4,9,5.5200000000000005,3.1291,1.6,7.982429275362319,48,5,7,0,31,8,95,train
96,238,43,1,32,4,3,1,2,5,6.587596899224806,7.793537801064561,1.1666666666666667,9.132896899224807,35,6,7,4,30,6,96,train
97,142,26,0,24,2,2,3,2,3,8.082051282051282,8.841846274778883,1.6666666666666667,8.924828205128204,24,3,5,3,18,5,97,train
98,300,54,0,42,10,5,2,2,11,12.281481481481482,10.125756701596842,6.0,8.776996296296296,44,2,12,3,26,9,98,train
99,96,22,1,18,4,3,0,4,0,4.2,3.1291,0.5,5.6611095238095235,20,2,1,0,11,1,99,train
100,99,18,0,17,2,3,0,2,4,11.644444444444446,11.20814326018867,3.0,8.03818888888889,18,1,3,2,11,3,100,train
101,236,48,0,37,11,2,4,2,8,5.633333333333334,5.985473137389441,1.25,6.20545,34,4,5,1,17,3,101,train
102,666,120,3,88,22,13,5,7,17,8.666666666666668,9.150863307647796,3.0,9.429583333333333,85,9,26,10,79,25,102,test
103,280,51,1,40,7,0,4,3,8,6.800000000000001,3.1291,3.3333333333333335,8.504601960784314,42,3,10,0,27,6,103,test
