index,Id,EssaySet,Score1,Score2,EssayText,split
1650,23063,9,1,1,"Tells us what sppace junk is, tells us how dangous it can be if there is junk just floting around and what could happen if there is mircodebris floating around.",train
382,23040,9,2,2,"The author organizes the article by breaking it down into sections and talking about different things in those sections, like What is Space Junk? and Crash Course.",train
670,24376,9,1,1,"The author jumps right into the topic by explaining the great space war between the Soviet Union and the United States. This was a time period when multiple space explorations took place and shows examples of space junk. The author also describes the many variations of technology we send into space. As quoted in the paragraph, ' space capsules, telescopes, and satellites.' These are variations of future space junk and the author breaks it down into how space junk is made, where it comes from, and the dangerous repercussions it may cause.",train
175,24475,9,0,0,The author organized the article to avoid giving to much information about one subject. He wants the article to give simpler information.,train
80,24358,9,0,0,"The author starts this article in a playful mood and then gets serious.  They start of with comments and then start withthe facts.  In the beginning the author says, 'Grab you telescope! Look up in the sky! It's a meteor!'  Then they go on to list facts like, ' In 1957, the Soviet Union launched the first artificial stellite.'",train
858,23223,9,2,2,"The author organizes this article by presenting different topics about how space junk is created, and how it can be harmful.  Each section presents a different problem contributing to the build up of space junk.  The author starts out by grabbing the reader with some shocking statements, and then explains the topic of the article.  The author then continues on to explain what space junk is, and how it is building up in outerspace.  After, the author shows how satellites collide, causing them to break into smaller pieces, which leads into the last section about how harmful the tiny pieces can really be.",train
1326,23067,9,0,0,Talks about how space satellites are leaving space trash.,train
272,22971,9,2,1,This organized in a way that tells us about orbiting jank then it tell us what it could be. It tells us next why things may turn into junk and orbit becusae some of the spacecraft may crash and thats the end of that.,train
144,23931,9,0,0,The author organizes this article in a way that someone who know nothin about the topic of 'space junk' will be able to follow the text all the way through. It is in other words arranged in order of increasing detail.,train
1321,24158,9,1,0,The author describes how space junk is prodused and what causes it to become small bits of space junk. The artical starts with satellites and works his way down to what microdebris is made of.,train
456,24133,9,2,2,The first part of the artice he uses the word space junk. Then in paragrphs 4 and 5 he explains what it is and how they circle the earth in there own orbit. In paragraphs 6 and 7he talks about what happens if two of the satelites collide together then it forms tiny peice of material that cant be seen from earth. Also in the last paragraph he tells how the tiny peices of debris still plays a big part in space.,train
1625,23709,9,2,2,"It gives me brief information about the article.  Startng the article off with some hurmor 'Grab your telescope!  Look up in the sky!  It's a comet!  It's a meteor!  It's a tool bag?'     Then goes into the begining about how the 'Soviet Union launched the first artificial satellite.  The United States followed suit, and thus began the human race's great space invasion.'  It goes on about what happens when tools float off into space by itself, and how it could be really dangerous.       The conclusion, just states that hopefully in the future, scientist can come up with a solution about how to solve the space pollution problem.",train
941,23519,9,1,0,First he grabs your attention with some interesting details. Example being the tool bag in space. Then he explains what it is that the articles about. Also gives a little background on it and why its there. Then explains the danger is has to the future.,train
179,23216,9,1,1,"The author organizes the article with a beginning, a middle, and an end.",train
1521,22980,9,2,2,"The author organizes the articles by producing several different titles and layering supporting evidence with facts. The introduction uses humor to convey the topic. 'What is Space Junk' gives a background as to how the the objects have muddled their way into the atmosphere. 'Crash Course' gives a more in-depth look at exactly what objects have been found and what dangerous effects they can have. 'Little Bits, But a Big Deal' expands on the need for a solution to the increasing amount of damage that has occured. The author uses a structure of history, cause, effect, and solution to reveal information.",train
1096,24552,9,2,2,"The first thing that the author does is tell you about the first satelite launched into space. Then over the years more satelites were launched, the author is telling you the causes of the space debri. Next the author talks about the dangers when satelites collide with other things. The last thing that the author talks about is how dangerous a tiny piece of debri could be. The author explains that even tiny grains of sand could be very dangerous. During the last paragraph the author tells the reader that the problem is never ending and ways that corporations could come together to help this problem.",train
1203,23096,9,2,1,The author organizes the article in different sections to make it more interesting to the reader. The author puts an eye catching opener to get the readers attention at the beginning and then goes on to explain the purpose of the article. They include interesting information and make it fun to read.,train
934,23675,9,1,1,The author organizes the article by telling the information to the reader in order and is not all scrambled up. The author talks about Space Junk and what it is. He tells us what it does and how it acts in space. Then he talks about its crash course and about how the little pieces of rock can cause serious damage to the spacecraft.,train
1795,24059,9,1,1,Intro. Beginning. Middle. End. First by using shocking statements to grab your attention. Then once the reader has your attention he/she provides you which researched information and the hard facts. After providing the facts he/she explains the various problems space junk can create. Lastly he/she leaves you with a few things to think about.,train
1201,24366,9,0,0,He makes you interested in the story right away. Then he gives a lot of statistcs and facts.,train
112,23857,9,2,1,"The authorstarts off the article by saying what space junk is. Then he goes into how it all began and how some satillites will collide into each other some time, causing big collisions. At the end the author supports how this is a big deal and that we need to start preventing these dangers.",train
816,24172,9,2,2,The author first uses a funny statement then uses a more serious passage about the begining of satelites. Then to how these satilites can sometimes crash causing debri to scatter. Then finally how these little peices of debri can become lethal.,train
752,23921,9,0,0,He explains space really well and has tons of answers for his own qoustions.,train
817,23790,9,0,0,He thinks there is a problem with junk invloved with space craft and there is a such thing as junk and trash in the space.,train
664,23619,9,1,1,The author has it organizd because he has differnt titles.Everything is majority in the right places and a certain order.The facts are in a cerntiain part of the story.It also gives alot of information and information you need for the article.,train
1001,24686,9,1,1,"The author starts out interseting.  Then they give us statistics about what has happened in the past years.  Around the sixth paragraph they give us examples.  By the eighth and ninth paragraphs they are talking about the bag, which was mentioned in the introduction.  The conclusion of this passage is saying that they hope to one day come up with a sollution to this.",train
