,index,split,Id,c3 (N),c3 (Y),c5 (N),c5 (Y),c9 (N),c9 (Y),c4 (N),c4 (Y),c6 (N),c6 (Y),c8 (N),c8 (Y),c11 (N),c11 (Y),c0 (N),c0 (Y),c2 (N),c2 (Y),c10 (N),c10 (Y),c7 (N),c7 (Y),c1 (N),c1 (Y)
0,0,train,24198,0.2569262087345123,0.6195867657661438,0.2685921788215637,0.6214442253112793,0.3033326864242553,0.5528872609138489,0.4255233705043793,0.4299961030483246,0.6702077388763428,0.2920001149177551,0.8393822908401489,0.1249611228704452,0.3203149139881134,0.5545129776000977,0.2697977423667907,0.6369050145149231,0.2147568315267563,0.6814662218093872,0.3658527433872223,0.5181793570518494,0.2695131599903106,0.5765745043754578,0.811240553855896,0.1964711546897888
1,1,train,23283,0.451481819152832,0.4699691832065582,0.4445092678070068,0.4764805734157562,0.7353042960166931,0.2301711738109588,0.7757610082626343,0.2025091499090194,0.8055477142333984,0.2064221054315567,0.8857325315475464,0.1296111643314361,0.633185863494873,0.3130094110965729,0.5126644968986511,0.4176976978778839,0.3631117641925812,0.5388185381889343,0.7758427858352661,0.2171263992786407,0.164304181933403,0.6831483244895935,0.6061505079269409,0.2868638336658478
2,2,test,23440,0.7501654624938965,0.2213791757822036,0.6052259802818298,0.3526795506477356,0.9163761138916016,0.1137925833463668,0.9172155857086182,0.1129409149289131,0.9105047583580016,0.1197593808174133,0.9397942423820496,0.0855541080236435,0.8744219541549683,0.145491674542427,0.8352108597755432,0.1543218344449997,0.5694302320480347,0.4030297100543976,0.9145637154579164,0.1133141443133354,0.1623020023107528,0.6883464455604553,0.5302698612213135,0.3243792057037353
3,3,train,24341,0.3714220225811004,0.5228930115699768,0.3806904852390289,0.5184822082519531,0.5814222693443298,0.2965835928916931,0.650107204914093,0.2436292469501495,0.73215651512146,0.2286593466997146,0.8559697270393372,0.1358432918787002,0.5261648893356323,0.3638073801994324,0.4107536375522613,0.4924717545509338,0.2998815774917602,0.5859338641166687,0.6570250391960144,0.2600103616714477,0.1841146200895309,0.6698417663574219,0.6653987765312195,0.2592112720012665
4,4,train,24640,0.5847178101539612,0.3474892079830169,0.5168398022651672,0.4083433151245117,0.855117678642273,0.1409610211849212,0.8611419796943665,0.1334641128778457,0.8632119297981262,0.140096515417099,0.9131502509117126,0.0987414345145225,0.7697188258171082,0.191734030842781,0.7016589045524597,0.2382712513208389,0.4660409688949585,0.4661886692047119,0.8714151382446289,0.1349420547485351,0.1519303768873214,0.6971355080604553,0.5384509563446045,0.3158983588218689
5,5,train,23494,0.4145985841751098,0.4834126234054565,0.4129855930805206,0.4901551306247711,0.6635391712188721,0.2619366347789764,0.7070482969284058,0.2210479825735092,0.7625925540924072,0.2168633192777633,0.8784971237182617,0.12899811565876,0.5829553008079529,0.3371618986129761,0.4657073616981506,0.4569621086120605,0.3265144526958465,0.5603388547897339,0.711833655834198,0.239376813173294,0.1790794432163238,0.6709599494934082,0.6506947875022888,0.2655922174453735
6,6,train,24627,0.266332745552063,0.6089683771133423,0.2743739783763885,0.6210604310035706,0.3035787940025329,0.5641395449638367,0.3994926810264587,0.4537786841392517,0.6587539315223694,0.2995631098747253,0.8233685493469238,0.1394386142492294,0.3226970136165619,0.5688593983650208,0.2746471464633941,0.6342833042144775,0.2334182858467102,0.6728379130363464,0.3403940498828888,0.5502575635910034,0.2815134823322296,0.5662463307380676,0.8091944456100464,0.2070320844650268
7,7,train,23655,0.5658313035964966,0.3536119759082794,0.4921333491802215,0.4198175072669983,0.8536922335624695,0.1422468870878219,0.8612114787101746,0.1333734095096588,0.8496671915054321,0.1430631577968597,0.9104471802711488,0.0990143790841102,0.7624180912971497,0.1965577006340026,0.6795849800109863,0.246407613158226,0.447976291179657,0.4729747474193573,0.8605132699012756,0.139525756239891,0.1486286520957946,0.6989520192146301,0.5365051031112671,0.313273936510086
8,8,train,23341,0.2996349334716797,0.5890089869499207,0.3251081705093384,0.5682616233825684,0.3987564742565155,0.4686143398284912,0.5537986159324646,0.3390366435050964,0.7059265375137329,0.2665137350559234,0.854636549949646,0.1252553164958953,0.4024176597595215,0.4930130839347839,0.3192793130874634,0.5880265831947327,0.2417314350605011,0.6379175186157227,0.5463191270828247,0.3803668320178985,0.2218201905488968,0.6268808841705322,0.7570495009422302,0.2104946672916412
9,9,test,24481,0.6822509169578552,0.2709242105484009,0.556346595287323,0.3813337087631225,0.9066178798675536,0.1212440505623817,0.9091767072677612,0.117136649787426,0.90101557970047,0.1246718317270279,0.9363139271736144,0.0889832824468612,0.8439441919326782,0.1624782681465149,0.7899700403213501,0.1790824085474014,0.5271042585372925,0.430890679359436,0.907593309879303,0.1180936247110366,0.1571483612060547,0.6935256123542786,0.533385157585144,0.3226778209209442
