variant_name,split,essay_set,n,qwk,mae,pearson,baseline_qwk,baseline_mae,baseline_pearson,delta_qwk_vs_baseline,delta_mae_vs_baseline,delta_pearson_vs_baseline
gbdt_selected_qwk_only,test,1,357,0.7472509437058921,0.8822949351849506,0.8039063914264274,0.727891156462585,0.8928750001717664,0.7927641252887991,0.019359787243307114,-0.01058006498681574,0.011142266137628254
gbdt_selected_balanced,test,1,357,0.7472509437058921,0.8822949351849506,0.8039063914264274,0.727891156462585,0.8928750001717664,0.7927641252887991,0.019359787243307114,-0.01058006498681574,0.011142266137628254
gbdt_selected_conservative,test,1,357,0.7472509437058921,0.8822949351849506,0.8039063914264274,0.727891156462585,0.8928750001717664,0.7927641252887991,0.019359787243307114,-0.01058006498681574,0.011142266137628254
gbdt_manual_safe_group,test,1,357,0.7472509437058921,0.8822949351849506,0.8039063914264274,0.727891156462585,0.8928750001717664,0.7927641252887991,0.019359787243307114,-0.01058006498681574,0.011142266137628254
gbdt_selected_balanced_plus_shrinked_calibration,test,1,357,0.7472509437058921,0.8822949351849506,0.8039063914264274,0.727891156462585,0.8928750001717664,0.7927641252887991,0.019359787243307114,-0.01058006498681574,0.011142266137628254
gbdt_manual_safe_group_plus_recommended_calibration,test,1,357,0.7472509437058921,0.8822949351849506,0.8039063914264274,0.727891156462585,0.8928750001717664,0.7927641252887991,0.019359787243307114,-0.01058006498681574,0.011142266137628254
val_selected_per_essay_set_model,test,1,357,0.7472509437058921,0.8822949351849506,0.8039063914264274,0.727891156462585,0.8928750001717664,0.7927641252887991,0.019359787243307114,-0.01058006498681574,0.011142266137628254
baseline_positive_linear,test,1,357,0.727891156462585,0.8928750001717664,0.7927641252887991,0.727891156462585,0.8928750001717664,0.7927641252887991,0.0,0.0,0.0
set6_gbdt_only,test,1,357,0.727891156462585,0.8928750001717664,0.7927641252887991,0.727891156462585,0.8928750001717664,0.7927641252887991,0.0,0.0,0.0
set6_gbdt_plus_shrinked_calibration,test,1,357,0.727891156462585,0.8928750001717664,0.7927641252887991,0.727891156462585,0.8928750001717664,0.7927641252887991,0.0,0.0,0.0
set6_gbdt_set8_baseline_or_calibration,test,1,357,0.727891156462585,0.8928750001717664,0.7927641252887991,0.727891156462585,0.8928750001717664,0.7927641252887991,0.0,0.0,0.0
val_selected_per_essay_set_model,test,2,360,0.5572873486983917,0.6070192147496186,0.6907435093826055,0.5538285203097482,0.6109214247390079,0.6803321382806906,0.003458828388643531,-0.0039022099893892825,0.010411371101914924
baseline_positive_linear,test,2,360,0.5538285203097482,0.6109214247390079,0.6803321382806906,0.5538285203097482,0.6109214247390079,0.6803321382806906,0.0,0.0,0.0
gbdt_selected_qwk_only,test,2,360,0.5538285203097482,0.6109214247390079,0.6803321382806906,0.5538285203097482,0.6109214247390079,0.6803321382806906,0.0,0.0,0.0
gbdt_selected_balanced,test,2,360,0.5538285203097482,0.6109214247390079,0.6803321382806906,0.5538285203097482,0.6109214247390079,0.6803321382806906,0.0,0.0,0.0
gbdt_selected_conservative,test,2,360,0.5538285203097482,0.6109214247390079,0.6803321382806906,0.5538285203097482,0.6109214247390079,0.6803321382806906,0.0,0.0,0.0
