selection_rule,essay_set,selected_model,uses_shrinked_calibration
qwk_only_selection,1,sklearn_gbdt_all_sets,False
qwk_only_selection,7,hist_gbdt_all_sets,False
balanced_selection,1,sklearn_gbdt_all_sets,False
balanced_selection,7,hist_gbdt_all_sets,False
conservative_selection,1,sklearn_gbdt_all_sets,False
conservative_selection,7,hist_gbdt_all_sets,False
manual_safe_group,1,sklearn_gbdt_all_sets,False
manual_safe_group,6,hist_gbdt_all_sets,False
manual_safe_group,7,hist_gbdt_all_sets,False
val_selected_per_essay_set_model,1,sklearn_gbdt_all_sets,False
val_selected_per_essay_set_model,2,ridge_alpha_10,False
val_selected_per_essay_set_model,3,baseline_positive_linear,False
val_selected_per_essay_set_model,4,baseline_positive_linear,False
val_selected_per_essay_set_model,5,baseline_positive_linear,False
val_selected_per_essay_set_model,6,ridge_alpha_10,False
val_selected_per_essay_set_model,7,hist_gbdt_all_sets,False
val_selected_per_essay_set_model,8,baseline_positive_linear,False
manual_safe_group_recommended_calibration,6,hist_gbdt_all_sets,True
