variant_name,split,essay_set,n,qwk,mae,pearson,baseline_qwk,baseline_mae,baseline_pearson,delta_qwk_vs_baseline,delta_mae_vs_baseline,delta_pearson_vs_baseline
gbdt_manual_safe_group_plus_recommended_calibration,test,macro,2597,0.5812971410051343,1.6199465316873858,0.7142401665067559,0.568898916100272,1.624825504240066,0.7078706357966874,0.01239822490486231,-0.004878972552680327,0.006369530710068516
set6_gbdt_plus_shrinked_calibration,test,macro,2597,0.5779541473927892,1.6153705179041988,0.7118113088563143,0.568898916100272,1.624825504240066,0.7078706357966874,0.009055231292517174,-0.009454986335867277,0.003940673059626865
gbdt_manual_safe_group,test,macro,2597,0.5730654544908171,1.6253389500544038,0.7147933110764629,0.568898916100272,1.624825504240066,0.7078706357966874,0.004166538390545149,0.0005134458143376541,0.006922675279775525
gbdt_selected_qwk_only,test,macro,2597,0.5722419097126172,1.6294015180232528,0.7102994934471291,0.568898916100272,1.624825504240066,0.7078706357966874,0.0033429936123452464,0.004576013783186728,0.0024288576504416515
gbdt_selected_balanced,test,macro,2597,0.5722419097126172,1.6294015180232528,0.7102994934471291,0.568898916100272,1.624825504240066,0.7078706357966874,0.0033429936123452464,0.004576013783186728,0.0024288576504416515
gbdt_selected_conservative,test,macro,2597,0.5722419097126172,1.6294015180232528,0.7102994934471291,0.568898916100272,1.624825504240066,0.7078706357966874,0.0033429936123452464,0.004576013783186728,0.0024288576504416515
gbdt_selected_balanced_plus_shrinked_calibration,test,macro,2597,0.5722419097126172,1.6294015180232528,0.7102994934471291,0.568898916100272,1.624825504240066,0.7078706357966874,0.0033429936123452464,0.004576013783186728,0.0024288576504416515
val_selected_per_essay_set_model,test,macro,2597,0.5721800334587006,1.627202257536624,0.7138376064228459,0.568898916100272,1.624825504240066,0.7078706357966874,0.00328111735842862,0.002376753296557954,0.005966970626158474
set6_gbdt_only,test,macro,2597,0.569722460878472,1.620762936271217,0.7123644534260213,0.568898916100272,1.624825504240066,0.7078706357966874,0.0008235447782000138,-0.0040625679688490735,0.004493817629333874
set6_gbdt_set8_baseline_or_calibration,test,macro,2597,0.569722460878472,1.620762936271217,0.7123644534260213,0.568898916100272,1.624825504240066,0.7078706357966874,0.0008235447782000138,-0.0040625679688490735,0.004493817629333874
baseline_positive_linear,test,macro,2597,0.568898916100272,1.624825504240066,0.7078706357966874,0.568898916100272,1.624825504240066,0.7078706357966874,0.0,0.0,0.0
gbdt_manual_safe_group_plus_recommended_calibration,val,macro,2596,0.6199184114976217,1.669649524819013,0.7276137591527246,0.6052010529501375,1.687452635147637,0.727801675641182,0.014717358547484238,-0.017803110328624028,-0.00018791648845739584
set6_gbdt_plus_shrinked_calibration,val,macro,2596,0.6150459746938766,1.6801138096174597,0.7259036089480635,0.6052010529501375,1.687452635147637,0.727801675641182,0.009844921743739077,-0.007338825530177395,-0.0018980666931185386
val_selected_per_essay_set_model,val,macro,2596,0.6119864837902895,1.6753074797838092,0.7316588683174354,0.6052010529501375,1.687452635147637,0.727801675641182,0.00678543084015204,-0.012145155363827875,0.003857192676253396
gbdt_manual_safe_group,val,macro,2596,0.6101072669764344,1.6752379134362398,0.7282128599816972,0.6052010529501375,1.687452635147637,0.727801675641182,0.004906214026296873,-0.012214721711397258,0.000411184340515125
gbdt_selected_qwk_only,val,macro,2596,0.6100734897538826,1.6769883503491902,0.7295118258458432,0.6052010529501375,1.687452635147637,0.727801675641182,0.0048724368037451615,-0.010464284798446855,0.0017101502046611428
gbdt_selected_balanced,val,macro,2596,0.6100734897538826,1.6769883503491902,0.7295118258458432,0.6052010529501375,1.687452635147637,0.727801675641182,0.0048724368037451615,-0.010464284798446855,0.0017101502046611428
gbdt_selected_conservative,val,macro,2596,0.6100734897538826,1.6769883503491902,0.7295118258458432,0.6052010529501375,1.687452635147637,0.727801675641182,0.0048724368037451615,-0.010464284798446855,0.0017101502046611428
gbdt_selected_balanced_plus_shrinked_calibration,val,macro,2596,0.6100734897538826,1.6769883503491902,0.7295118258458432,0.6052010529501375,1.687452635147637,0.727801675641182,0.0048724368037451615,-0.010464284798446855,0.0017101502046611428
set6_gbdt_only,val,macro,2596,0.6052348301726892,1.6857021982346865,0.726502709777036,0.6052010529501375,1.687452635147637,0.727801675641182,3.3777222551711894e-05,-0.0017504369129506259,-0.0012989658641460178
set6_gbdt_set8_baseline_or_calibration,val,macro,2596,0.6052348301726892,1.6857021982346865,0.726502709777036,0.6052010529501375,1.687452635147637,0.727801675641182,3.3777222551711894e-05,-0.0017504369129506259,-0.0012989658641460178
baseline_positive_linear,val,macro,2596,0.6052010529501375,1.687452635147637,0.727801675641182,0.6052010529501375,1.687452635147637,0.727801675641182,0.0,0.0,0.0
